days__datetime,days_day_of_week,days__tempmax,days__tempmin,days__temp,days__feelslikemax,days__feelslikemin,days__feelslike,days_has_rain,days__precip,days__precipprob,days_has_snow,days__precipcover,days__snow,days__snowdepth,days__windspeed,days__cloudcover,days__visibility
2021-01-01,Friday,40.8,35.9,37.6,34.8,28.7,31.8,1,0.81,100,0,41.67,0.0,0.0,16.2,99.9,8.3
2021-01-02,Saturday,56.9,37.0,44.9,56.9,31.5,41.9,1,0.001,100,0,4.17,0.0,0.0,14.0,89.8,8.4
2021-01-03,Sunday,43.0,38.9,40.6,42.7,31.8,35.9,1,0.279,100,0,29.17,0.0,0.0,11.3,98.4,8.5
2021-01-04,Monday,46.1,34.7,40.5,44.0,29.8,36.9,0,0.0,0,0,0.0,0.0,0.0,9.8,81.0,9.6
2021-01-05,Tuesday,42.8,39.6,40.9,41.8,32.4,37.3,1,0.028,100,0,4.17,0.0,0.0,12.3,99.5,9.7
2021-01-06,Wednesday,42.9,38.6,40.5,35.3,32.3,33.3,0,0.0,0,0,0.0,0.0,0.0,21.3,99.4,9.9
2021-01-07,Thursday,46.9,33.8,39.7,42.4,26.4,33.3,0,0.0,0,0,0.0,0.0,0.0,19.3,47.6,9.9
2021-01-08,Friday,37.9,33.8,35.6,34.3,24.9,29.3,0,0.0,0,0,0.0,0.0,0.0,13.4,88.8,9.9
2021-01-09,Saturday,46.9,31.8,38.4,39.7,21.1,29.9,0,0.0,0,0,0.0,0.0,0.0,20.2,51.5,9.9
2021-01-10,Sunday,48.7,34.9,40.6,45.2,28.5,36.2,0,0.0,0,0,0.0,0.0,0.0,13.8,22.2,9.9
2021-01-11,Monday,43.1,29.2,36.3,39.7,27.5,34.4,0,0.0,0,0,0.0,0.0,0.0,7.9,78.7,9.9
2021-01-12,Tuesday,48.8,29.3,37.2,46.0,24.4,35.6,0,0.0,0,0,0.0,0.0,0.0,8.8,27.4,9.4
2021-01-13,Wednesday,50.1,30.2,39.1,50.1,25.5,37.8,0,0.0,0,0,0.0,0.0,0.0,9.8,38.6,9.7
2021-01-14,Thursday,55.1,31.4,41.7,55.1,31.4,41.3,0,0.0,0,0,0.0,0.0,0.0,12.2,48.4,8.9
2021-01-15,Friday,52.0,34.7,43.3,52.0,27.4,40.3,1,0.168,100,0,16.67,0.0,0.0,14.4,91.5,9.0
2021-01-16,Saturday,46.9,37.7,42.3,45.9,31.2,36.9,0,0.0,0,0,0.0,0.0,0.0,14.1,60.9,9.8
2021-01-17,Sunday,48.6,33.7,40.4,43.3,26.6,34.7,0,0.0,0,0,0.0,0.0,0.0,13.4,81.2,9.9
2021-01-18,Monday,45.9,34.7,39.9,39.9,30.7,34.7,0,0.0,0,0,0.0,0.0,0.0,17.3,74.4,9.9
2021-01-19,Tuesday,52.0,33.7,41.1,52.0,28.8,37.3,0,0.0,0,0,0.0,0.0,0.0,16.1,60.9,9.9
2021-01-20,Wednesday,44.8,31.6,38.8,39.5,26.1,32.7,0,0.0,0,0,0.0,0.0,0.0,27.1,72.7,9.9
2021-01-21,Thursday,53.9,26.7,39.9,53.9,21.2,35.9,0,0.0,0,0,0.0,0.0,0.0,13.5,35.9,9.9
2021-01-22,Friday,49.9,32.9,41.3,45.1,27.5,35.8,0,0.0,0,0,0.0,0.0,0.0,19.4,27.8,9.9
2021-01-23,Saturday,39.6,26.9,33.1,31.8,14.3,22.8,0,0.0,0,0,0.0,0.0,0.0,22.0,38.6,9.8
2021-01-24,Sunday,37.0,26.0,31.7,37.0,15.5,25.9,0,0.0,0,0,0.0,0.0,0.0,11.5,82.8,9.9
2021-01-25,Monday,38.8,31.9,35.9,35.7,24.4,31.2,1,0.173,100,1,25.0,0.0,0.0,10.0,99.3,8.8
2021-01-26,Tuesday,38.0,31.9,34.9,37.1,23.8,31.3,1,0.079,100,1,33.33,0.0,0.0,9.7,100.0,3.5
2021-01-27,Wednesday,43.0,35.8,39.4,37.7,26.4,33.5,0,0.0,0,0,0.0,0.0,0.0,16.9,94.3,8.7
2021-01-28,Thursday,35.9,28.0,32.6,28.5,15.7,21.0,1,0.001,100,1,4.17,0.0,0.0,27.1,61.3,9.9
2021-01-29,Friday,33.0,24.9,28.8,22.1,10.6,17.2,0,0.0,0,0,0.0,0.0,0.0,24.8,70.2,9.9
2021-01-30,Saturday,38.7,23.8,31.1,37.8,15.1,24.9,1,0.0,0,1,0.0,0.3,0.1,13.3,53.2,9.9
2021-01-31,Sunday,33.8,29.8,31.5,32.0,20.7,24.6,1,0.432,100,1,62.5,1.2,0.9,14.8,98.6,3.5
2021-02-01,Monday,33.9,29.1,31.5,27.4,17.3,21.2,1,0.165,100,1,33.33,0.8,2.1,19.2,99.5,5.8
