days__datetime,days_day_of_week,days__tempmax,days__tempmin,days__temp,days__feelslikemax,days__feelslikemin,days__feelslike,days_has_rain,days__precip,days__precipprob,days_has_snow,days__precipcover,days__snow,days__snowdepth,days__windspeed,days__cloudcover,days__visibility
2020-01-01,Wednesday,51.0,36.2,44.2,51.0,32.7,40.5,0,0.0,0,0,0.0,0,0,14.7,41.6,9.9
2020-01-02,Thursday,53.0,32.4,42.2,53.0,28.3,40.4,0,0.0,0,0,0.0,0,0,8.8,64.2,9.9
2020-01-03,Friday,53.0,47.0,50.3,53.0,43.0,48.9,1,0.217,100,0,50.0,0,0,10.8,84.4,9.3
2020-01-04,Saturday,58.9,46.9,52.8,58.9,40.3,51.8,1,0.349,100,0,41.67,0,0,16.7,82.2,7.2
2020-01-05,Sunday,46.0,35.4,40.7,39.4,29.5,33.9,0,0.0,0,0,0.0,0,0,21.5,72.4,9.9
2020-01-06,Monday,55.0,35.3,44.1,55.0,31.3,41.5,0,0.0,0,0,0.0,0,0,16.8,46.2,9.9
2020-01-07,Tuesday,45.9,32.9,36.8,44.9,25.9,33.2,1,0.328,100,1,25.0,0,0,13.9,65.1,8.6
2020-01-08,Wednesday,46.8,30.6,37.4,39.4,23.2,30.4,0,0.0,0,0,0.0,0,0,22.5,27.1,9.9
2020-01-09,Thursday,40.7,28.6,33.7,39.7,19.2,27.3,0,0.0,0,0,0.0,0,0,13.1,56.9,9.9
2020-01-10,Friday,53.9,34.9,44.9,53.9,29.1,42.0,0,0.0,0,0,0.0,0,0,12.3,72.0,9.9
2020-01-11,Saturday,71.9,48.6,60.1,71.9,48.2,60.0,0,0.0,0,0,0.0,0,0,24.3,78.2,9.9
2020-01-12,Sunday,69.9,48.6,63.2,69.9,45.2,63.1,1,0.372,100,0,20.83,0,0,29.0,47.3,9.6
2020-01-13,Monday,52.9,43.9,48.0,52.9,40.7,46.4,0,0.0,0,0,0.0,0,0,8.7,79.6,9.9
2020-01-14,Tuesday,48.7,43.6,46.8,47.9,41.1,45.5,1,0.047,100,0,20.83,0,0,7.7,95.0,6.1
2020-01-15,Wednesday,57.0,44.8,49.5,57.0,42.7,48.3,0,0.0,0,0,0.0,0,0,10.9,75.9,7.7
2020-01-16,Thursday,55.8,37.9,48.8,55.8,27.1,44.8,0,0.0,0,0,0.0,0,0,27.2,38.8,9.9
2020-01-17,Friday,38.8,30.2,34.2,32.3,19.1,25.1,0,0.0,0,0,0.0,0,0,25.1,47.4,9.9
2020-01-18,Saturday,39.8,26.8,32.0,31.4,17.5,24.4,1,0.231,100,1,25.0,0,0,19.3,84.7,9.1
2020-01-19,Sunday,44.9,28.9,39.6,43.9,17.1,32.4,0,0.0,0,0,0.0,0,0,23.5,68.4,9.9
2020-01-20,Monday,35.8,24.9,29.3,25.8,12.6,18.7,0,0.0,0,0,0.0,0,0,19.9,11.0,9.9
2020-01-21,Tuesday,36.9,22.8,29.6,30.3,11.1,20.2,0,0.0,0,0,0.0,0,0,16.9,9.2,9.9
2020-01-22,Wednesday,39.0,23.8,31.2,38.7,16.5,27.1,0,0.0,0,0,0.0,0,0,9.0,30.8,9.9
2020-01-23,Thursday,43.9,28.2,35.2,43.0,28.2,34.6,0,0.0,0,0,0.0,0,0,6.2,70.3,9.9
2020-01-24,Friday,51.2,33.7,43.0,51.2,28.1,40.0,0,0.0,0,0,0.0,0,0,11.5,74.2,9.8
2020-01-25,Saturday,51.0,43.7,47.9,51.0,38.2,44.9,1,1.214,100,0,37.5,0,0,14.1,73.5,8.8
2020-01-26,Sunday,48.7,35.5,43.3,44.0,31.4,40.0,0,0.0,0,0,0.0,0,0,14.9,66.3,9.9
2020-01-27,Monday,48.8,35.4,42.3,45.6,29.5,37.6,0,0.0,0,0,0.0,0,0,15.7,79.1,9.9
2020-01-28,Tuesday,46.7,39.8,43.4,40.9,33.6,37.0,0,0.0,0,0,0.0,0,0,21.0,88.8,9.9
2020-01-29,Wednesday,46.7,35.4,41.0,41.4,30.2,35.4,0,0.0,0,0,0.0,0,0,16.3,69.5,9.9
2020-01-30,Thursday,42.8,30.3,35.9,40.4,23.3,31.5,0,0.0,0,0,0.0,0,0,9.2,67.3,9.9
2020-01-31,Friday,46.8,32.9,39.3,46.8,28.0,37.6,1,0.011,100,0,4.17,0,0,6.6,76.8,9.9
2020-02-01,Saturday,50.0,33.5,41.5,50.0,29.4,39.8,1,0.048,100,0,8.33,0,0,12.7,60.1,8.9
2020-02-02,Sunday,53.9,35.1,44.5,53.9,29.8,41.8,1,0.011,100,0,4.17,0,0,15.7,48.2,8.7
2020-02-03,Monday,61.5,43.6,54.0,61.5,40.4,53.3,0,0.0,0,0,0.0,0,0,9.1,48.9,9.9
2020-02-04,Tuesday,64.6,50.1,57.2,64.6,50.1,57.2,1,0.024,100,0,8.33,0,0,9.9,85.0,9.9
2020-02-05,Wednesday,56.1,38.8,45.5,56.1,32.3,41.1,1,0.069,100,0,25.0,0,0,19.0,86.4,9.1
2020-02-06,Thursday,46.8,38.8,42.2,45.9,33.9,39.2,1,0.795,100,0,75.0,0,0,11.4,94.8,6.8
2020-02-07,Friday,56.9,37.0,48.0,56.9,27.4,43.4,1,0.492,100,0,41.67,0,0,24.9,80.4,9.0
2020-02-08,Saturday,44.8,31.7,38.3,42.3,25.5,32.7,0,0.0,0,0,0.0,0,0,12.6,42.4,9.9
2020-02-09,Sunday,49.9,31.4,41.1,48.1,28.4,38.0,0,0.0,0,0,0.0,0,0,14.7,43.0,9.9
2020-02-10,Monday,48.8,41.9,46.0,46.9,35.1,40.8,1,0.435,100,0,54.17,0,0,20.7,86.6,9.1
2020-02-11,Tuesday,56.8,48.1,52.5,56.8,43.8,51.7,1,0.511,100,0,58.33,0,0,15.5,86.1,6.2
2020-02-12,Wednesday,48.8,41.9,45.3,48.7,35.0,41.1,1,0.088,100,0,16.67,0,0,13.9,79.0,9.4
2020-02-13,Thursday,55.9,40.9,48.1,55.9,34.3,44.8,1,0.322,100,0,45.83,0,0,23.1,71.9,8.4
2020-02-14,Friday,43.9,26.8,36.6,38.7,14.5,28.1,0,0.0,0,0,0.0,0,0,20.3,39.3,9.9
2020-02-15,Saturday,35.9,21.3,29.3,29.0,12.2,21.3,0,0.0,0,0,0.0,0,0,13.1,45.6,9.9
2020-02-16,Sunday,52.1,32.9,40.2,52.1,24.9,36.3,0,0.0,0,0,0.0,0,0,11.0,69.2,9.9
2020-02-17,Monday,54.9,37.6,45.4,54.9,32.6,43.3,0,0.0,0,0,0.0,0,0,12.4,56.2,9.9
2020-02-18,Tuesday,58.8,40.6,49.3,58.8,37.3,48.7,0,0.0,0,0,0.0,0,0,15.2,75.6,9.7
2020-02-19,Wednesday,55.6,40.6,47.8,55.6,35.5,43.6,1,0.011,100,0,4.17,0,0,20.2,75.6,9.9
2020-02-20,Thursday,40.7,32.7,37.7,37.9,24.1,32.5,0,0.0,0,0,0.0,0,0,18.9,73.3,9.9
2020-02-21,Friday,38.7,24.1,31.9,36.9,10.7,23.3,0,0.0,0,0,0.0,0,0,20.4,16.0,9.9
2020-02-22,Saturday,53.0,26.4,39.2,53.0,19.0,34.9,0,0.0,0,0,0.0,0,0,12.3,11.2,9.9
2020-02-23,Sunday,58.8,29.1,43.8,58.8,29.1,42.8,0,0.0,0,0,0.0,0,0,10.3,17.8,9.9
2020-02-24,Monday,58.7,35.5,46.4,58.7,31.6,45.5,0,0.0,0,0,0.0,0,0,13.7,67.3,9.9
2020-02-25,Tuesday,53.9,46.1,49.9,53.9,42.1,48.2,1,0.218,100,0,25.0,0,0,8.0,91.1,7.2
2020-02-26,Wednesday,52.9,46.9,50.2,52.9,44.0,49.1,1,0.008,100,0,8.33,0,0,11.0,93.4,5.3
2020-02-27,Thursday,44.8,31.8,40.2,36.3,24.2,31.8,1,0.219,100,0,12.5,0,0,24.0,45.5,9.8
2020-02-28,Friday,47.6,30.6,38.9,44.1,22.9,32.0,0,0.0,0,0,0.0,0,0,15.9,62.1,9.9
2020-02-29,Saturday,37.8,31.8,34.7,29.1,21.4,25.8,0,0.0,0,0,0.0,0,0,25.2,49.1,9.9
2020-03-01,Sunday,50.9,27.5,39.1,50.9,22.6,34.8,0,0.0,0,0,0.0,0,0,11.6,15.8,9.9
2020-03-02,Monday,64.9,38.5,52.0,64.9,33.4,49.9,1,0.09,100,0,12.5,0,0,18.3,64.4,9.9
2020-03-03,Tuesday,64.9,45.6,53.7,64.9,43.3,53.0,1,0.079,100,0,20.83,0,0,24.8,53.4,9.8
2020-03-04,Wednesday,64.8,47.4,55.6,64.8,43.8,54.8,0,0.0,0,0,0.0,0,0,19.0,34.6,9.9
