days__datetime,days_day_of_week,days__tempmax,days__tempmin,days__temp,days__feelslikemax,days__feelslikemin,days__feelslike,days_has_rain,days__precip,days__precipprob,days_has_snow,days__precipcover,days__snow,days__snowdepth,days__windspeed,days__cloudcover,days__visibility
2022-01-01,Saturday,63.5,54.1,58.3,63.5,54.1,58.3,1,0.448,100,0,33.33,0.0,0.0,11.4,99.5,6.2
2022-01-02,Sunday,62.7,47.8,57.5,62.7,42.0,57.0,1,0.124,100,0,29.17,0.0,0.0,18.9,91.6,9.6
2022-01-03,Monday,46.0,26.1,32.7,39.4,14.3,23.0,1,0.889,100,1,62.5,2.8,1.0,22.5,77.2,6.2
2022-01-04,Tuesday,34.0,25.3,29.4,33.7,16.0,24.0,0,0.0,0,1,0.0,1.4,3.5,14.1,18.7,9.9
2022-01-05,Wednesday,40.8,28.1,35.8,37.2,19.8,29.5,0,0.0,0,0,0.0,0.0,2.4,13.6,82.6,9.9
2022-01-06,Thursday,42.9,36.9,39.8,40.6,29.5,35.3,1,0.0,0,0,0.0,0.2,1.7,12.9,88.1,9.9
2022-01-07,Friday,35.8,24.9,29.8,26.4,16.7,20.0,1,0.118,100,1,20.83,0.3,2.0,21.3,58.4,8.4
2022-01-08,Saturday,33.1,22.8,27.5,29.9,13.0,20.3,0,0.0,0,0,0.0,0.0,1.2,13.3,20.5,9.9
2022-01-09,Sunday,46.6,30.4,37.8,43.1,21.2,30.8,1,0.543,100,0,45.83,0.0,0.6,15.4,90.0,8.4
2022-01-10,Monday,44.0,28.9,34.8,36.2,17.1,25.5,1,0.005,100,1,4.17,0.0,0.1,21.0,58.5,9.9
2022-01-11,Tuesday,28.8,22.9,25.8,22.4,9.2,16.6,0,0.0,0,0,0.0,0.0,0.0,19.7,42.6,9.9
2022-01-12,Wednesday,46.9,22.8,34.5,41.7,13.0,27.4,0,0.0,0,0,0.0,0.0,0.0,15.7,53.8,9.9
2022-01-13,Thursday,50.7,31.5,39.7,50.7,31.5,38.3,0,0.0,0,0,0.0,0.0,0.0,6.5,86.6,9.9
2022-01-14,Friday,48.6,35.6,41.8,41.5,25.8,34.8,0,0.0,0,0,0.0,0.0,0.0,21.6,81.5,9.9
2022-01-15,Saturday,33.8,20.5,25.8,23.1,9.2,14.8,0,0.0,0,0,0.0,0.0,0.0,19.1,61.7,9.9
