"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2013-01-01","44.6","37.6","41.7","44","32.5","38.2","0","0","0","","","null","0","0","null","13.6","97","9.9","null"
"","","","","","","","2013-01-02","39.4","31.7","35.9","35.9","24.5","29.4","0","0","0","","","null","0","0","19.5","14.9","92.3","9.9","null"
"","","","","","","","2013-01-03","37.6","29.7","32.7","31","22.4","27.1","0","0","0","","","null","0","0","null","10.1","64.5","9.9","null"
"","","","","","","","2013-01-04","44.6","28.3","37.2","39.7","23.1","32.3","0","0","0","","","null","0","0","23","16","25.8","9.9","null"
"","","","","","","","2013-01-05","46.1","33.3","39.1","46.1","26.8","35.1","0","0","0","","","null","0","0","24.2","12.4","47.9","9.9","null"
"","","","","","","","2013-01-06","51.8","34.9","43.9","51.8","31.8","41.8","0.011","100","4.17","rain","","","0","0","19.5","12.5","79.9","9.9","null"
"","","","","","","","2013-01-07","47.9","34.8","43.5","44.4","32.9","39.5","0","0","0","","","null","0","0","21.9","13.8","58","9.9","null"
"","","","","","","","2013-01-08","52","30.3","40.9","52","24.4","37.6","0","0","0","","","null","0","0","null","13.8","54.2","9.6","null"
"","","","","","","","2013-01-09","48.6","35","42.1","48.6","30","40.4","0.011","100","4.17","rain","","","0","0","null","8","66.3","9.5","null"
"","","","","","","","2013-01-10","55.6","44","49.6","55.6","39.2","48","0","0","0","","","null","0","0","23","13.5","78.6","9.9","null"
"","","","","","","","2013-01-11","46.1","38.6","42.5","44.2","37.3","41.4","0.012","100","4.17","rain","","","0","0","null","5.8","87.9","7.2","null"
"","","","","","","","2013-01-12","50.1","42.9","45.7","50.1","40.2","44.1","0","0","0","","","null","0","0","null","9.9","94.7","3.5","null"
"","","","","","","","2013-01-13","55","42.9","48.4","55","38.7","47.4","0","0","0","","","null","0","0","null","6.8","99.7","1.1","null"
"","","","","","","","2013-01-14","60.8","44.1","54","60.8","37.4","53.2","0.071","100","16.67","rain","","","0","0","26.1","16","95.2","8.6","null"
