"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"366","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2020-01-01","51","36.2","44.2","51","32.7","40.5","0","0","0","","","null","0","0","21.9","14.7","41.6","9.9","5"
"","","","","","","","2020-01-02","53","32.4","42.2","53","28.3","40.4","0","0","0","","","null","0","0","null","8.8","64.2","9.9","5"
"","","","","","","","2020-01-03","53","47","50.3","53","43","48.9","0.217","100","50","rain","","","0","0","null","10.8","84.4","9.3","2"
"","","","","","","","2020-01-04","58.9","46.9","52.8","58.9","40.3","51.8","0.349","100","41.67","rain","","","0","0","28.7","16.7","82.2","7.2","1"
"","","","","","","","2020-01-05","46","35.4","40.7","39.4","29.5","33.9","0","0","0","","","null","0","0","36.6","21.5","72.4","9.9","3"
"","","","","","","","2020-01-06","55","35.3","44.1","55","31.3","41.5","0","0","0","","","null","0","0","27.7","16.8","46.2","9.9","5"
"","","","","","","","2020-01-07","45.9","32.9","36.8","44.9","25.9","33.2","0.328","100","25","rain","snow","","0","0","18.3","13.9","65.1","8.6","3"
"","","","","","","","2020-01-08","46.8","30.6","37.4","39.4","23.2","30.4","0","0","0","","","null","0","0","34.8","22.5","27.1","9.9","6"
"","","","","","","","2020-01-09","40.7","28.6","33.7","39.7","19.2","27.3","0","0","0","","","null","0","0","null","13.1","56.9","9.9","5"
"","","","","","","","2020-01-10","53.9","34.9","44.9","53.9","29.1","42","0","0","0","","","null","0","0","19.7","12.3","72","9.9","2"
"","","","","","","","2020-01-11","71.9","48.6","60.1","71.9","48.2","60","0","0","0","","","null","0","0","33.2","24.3","78.2","9.9","6"
"","","","","","","","2020-01-12","69.9","48.6","63.2","69.9","45.2","63.1","0.372","100","20.83","rain","","","0","0","40.8","29","47.3","9.6","5"
"","","","","","","","2020-01-13","52.9","43.9","48","52.9","40.7","46.4","0","0","0","","","null","0","0","null","8.7","79.6","9.9","7"
"","","","","","","","2020-01-14","48.7","43.6","46.8","47.9","41.1","45.5","0.047","100","20.83","rain","","","0","0","null","7.7","95","6.1","1"
"","","","","","","","2020-01-15","57","44.8","49.5","57","42.7","48.3","0","0","0","","","null","0","0","null","10.9","75.9","7.7","8"
"","","","","","","","2020-01-16","55.8","37.9","48.8","55.8","27.1","44.8","0","0","0","","","null","0","0","37.7","27.2","38.8","9.9","5"
"","","","","","","","2020-01-17","38.8","30.2","34.2","32.3","19.1","25.1","0","0","0","","","null","0","0","37.6","25.1","47.4","9.9","7"
"","","","","","","","2020-01-18","39.8","26.8","32","31.4","17.5","24.4","0.231","100","25","rain","snow","","0","0","30.2","19.3","84.7","9.1","1"
"","","","","","","","2020-01-19","44.9","28.9","39.6","43.9","17.1","32.4","0","0","0","","","null","0","0","36.1","23.5","68.4","9.9","10"
"","","","","","","","2020-01-20","35.8","24.9","29.3","25.8","12.6","18.7","0","0","0","","","null","0","0","32","19.9","11","9.9","6"
"","","","","","","","2020-01-21","36.9","22.8","29.6","30.3","11.1","20.2","0","0","0","","","null","0","0","21.9","16.9","9.2","9.9","5"
"","","","","","","","2020-01-22","39","23.8","31.2","38.7","16.5","27.1","0","0","0","","","null","0","0","null","9","30.8","9.9","6"
"","","","","","","","2020-01-23","43.9","28.2","35.2","43","28.2","34.6","0","0","0","","","null","0","0","null","6.2","70.3","9.9","3"
"","","","","","","","2020-01-24","51.2","33.7","43","51.2","28.1","40","0","0","0","","","null","0","0","19.7","11.5","74.2","9.8","3"
"","","","","","","","2020-01-25","51","43.7","47.9","51","38.2","44.9","1.214","100","37.5","rain","","","0","0","25.3","14.1","73.5","8.8","2"
"","","","","","","","2020-01-26","48.7","35.5","43.3","44","31.4","40","0","0","0","","","null","0","0","23.7","14.9","66.3","9.9","5"
"","","","","","","","2020-01-27","48.8","35.4","42.3","45.6","29.5","37.6","0","0","0","","","null","0","0","22.9","15.7","79.1","9.9","4"
"","","","","","","","2020-01-28","46.7","39.8","43.4","40.9","33.6","37","0","0","0","","","null","0","0","27.1","21","88.8","9.9","3"
"","","","","","","","2020-01-29","46.7","35.4","41","41.4","30.2","35.4","0","0","0","","","null","0","0","20.8","16.3","69.5","9.9","5"
"","","","","","","","2020-01-30","42.8","30.3","35.9","40.4","23.3","31.5","0","0","0","","","null","0","0","null","9.2","67.3","9.9","3"
"","","","","","","","2020-01-31","46.8","32.9","39.3","46.8","28","37.6","0.011","100","4.17","rain","","","0","0","null","6.6","76.8","9.9","3"
"","","","","","","","2020-02-01","50","33.5","41.5","50","29.4","39.8","0.048","100","8.33","rain","","","0","0","null","12.7","60.1","8.9","5"
"","","","","","","","2020-02-02","53.9","35.1","44.5","53.9","29.8","41.8","0.011","100","4.17","rain","","","0","0","25.3","15.7","48.2","8.7","6"
"","","","","","","","2020-02-03","61.5","43.6","54","61.5","40.4","53.3","0","0","0","","","null","0","0","26.4","9.1","48.9","9.9","5"
"","","","","","","","2020-02-04","64.6","50.1","57.2","64.6","50.1","57.2","0.024","100","8.33","rain","","","0","0","null","9.9","85","9.9","5"
"","","","","","","","2020-02-05","56.1","38.8","45.5","56.1","32.3","41.1","0.069","100","25","rain","","","0","0","null","19","86.4","9.1","0"
"","","","","","","","2020-02-06","46.8","38.8","42.2","45.9","33.9","39.2","0.795","100","75","rain","","","0","0","null","11.4","94.8","6.8","0"
"","","","","","","","2020-02-07","56.9","37","48","56.9","27.4","43.4","0.492","100","41.67","rain","","","0","0","40","24.9","80.4","9","4"
"","","","","","","","2020-02-08","44.8","31.7","38.3","42.3","25.5","32.7","0","0","0","","","null","0","0","20.8","12.6","42.4","9.9","4"
"","","","","","","","2020-02-09","49.9","31.4","41.1","48.1","28.4","38","0","0","0","","","null","0","0","null","14.7","43","9.9","6"
"","","","","","","","2020-02-10","48.8","41.9","46","46.9","35.1","40.8","0.435","100","54.17","rain","","","0","0","31.2","20.7","86.6","9.1","1"
"","","","","","","","2020-02-11","56.8","48.1","52.5","56.8","43.8","51.7","0.511","100","58.33","rain","","","0","0","21.9","15.5","86.1","6.2","2"
"","","","","","","","2020-02-12","48.8","41.9","45.3","48.7","35","41.1","0.088","100","16.67","rain","","","0","0","25.3","13.9","79","9.4","3"
"","","","","","","","2020-02-13","55.9","40.9","48.1","55.9","34.3","44.8","0.322","100","45.83","rain","","","0","0","33.3","23.1","71.9","8.4","0"
"","","","","","","","2020-02-14","43.9","26.8","36.6","38.7","14.5","28.1","0","0","0","","","null","0","0","31.8","20.3","39.3","9.9","7"
"","","","","","","","2020-02-15","35.9","21.3","29.3","29","12.2","21.3","0","0","0","","","null","0","0","null","13.1","45.6","9.9","6"
"","","","","","","","2020-02-16","52.1","32.9","40.2","52.1","24.9","36.3","0","0","0","","","null","0","0","null","11","69.2","9.9","5"
"","","","","","","","2020-02-17","54.9","37.6","45.4","54.9","32.6","43.3","0","0","0","","","null","0","0","null","12.4","56.2","9.9","6"
"","","","","","","","2020-02-18","58.8","40.6","49.3","58.8","37.3","48.7","0","0","0","","","null","0","0","23.2","15.2","75.6","9.7","6"
"","","","","","","","2020-02-19","55.6","40.6","47.8","55.6","35.5","43.6","0.011","100","4.17","rain","","","0","0","27.4","20.2","75.6","9.9","6"
"","","","","","","","2020-02-20","40.7","32.7","37.7","37.9","24.1","32.5","0","0","0","","","null","0","0","null","18.9","73.3","9.9","2"
"","","","","","","","2020-02-21","38.7","24.1","31.9","36.9","10.7","23.3","0","0","0","","","null","0","0","21.8","20.4","16","9.9","7"
"","","","","","","","2020-02-22","53","26.4","39.2","53","19","34.9","0","0","0","","","null","0","0","16.1","12.3","11.2","9.9","7"
"","","","","","","","2020-02-23","58.8","29.1","43.8","58.8","29.1","42.8","0","0","0","","","null","0","0","null","10.3","17.8","9.9","7"
"","","","","","","","2020-02-24","58.7","35.5","46.4","58.7","31.6","45.5","0","0","0","","","null","0","0","null","13.7","67.3","9.9","4"
"","","","","","","","2020-02-25","53.9","46.1","49.9","53.9","42.1","48.2","0.218","100","25","rain","","","0","0","null","8","91.1","7.2","1"
"","","","","","","","2020-02-26","52.9","46.9","50.2","52.9","44","49.1","0.008","100","8.33","rain","","","0","0","17.2","11","93.4","5.3","1"
"","","","","","","","2020-02-27","44.8","31.8","40.2","36.3","24.2","31.8","0.219","100","12.5","rain","","","0","0","41","24","45.5","9.8","6"
"","","","","","","","2020-02-28","47.6","30.6","38.9","44.1","22.9","32","0","0","0","","","null","0","0","25","15.9","62.1","9.9","5"
"","","","","","","","2020-02-29","37.8","31.8","34.7","29.1","21.4","25.8","0","0","0","","","null","0","0","35.3","25.2","49.1","9.9","6"
"","","","","","","","2020-03-01","50.9","27.5","39.1","50.9","22.6","34.8","0","0","0","","","null","0","0","19.7","11.6","15.8","9.9","7"
"","","","","","","","2020-03-02","64.9","38.5","52","64.9","33.4","49.9","0.09","100","12.5","rain","","","0","0","35.7","18.3","64.4","9.9","6"
"","","","","","","","2020-03-03","64.9","45.6","53.7","64.9","43.3","53","0.079","100","20.83","rain","","","0","0","45.5","24.8","53.4","9.8","5"
"","","","","","","","2020-03-04","64.8","47.4","55.6","64.8","43.8","54.8","0","0","0","","","null","0","0","39.6","19","34.6","9.9","7"
"","","","","","","","2020-03-05","53.2","41.3","48.3","53.2","37.1","46","0","0","0","","","null","0","0","30.9","24.4","66.8","9.9","5"
"","","","","","","","2020-03-06","51.8","38.2","44.1","51.8","33.5","40.6","0.002","100","8.33","rain","","","0","0","32","16.7","64.9","9.9","5"
"","","","","","","","2020-03-07","52.7","38.8","45.2","52.7","29.7","39","0","0","0","","","null","0","0","40.6","27.6","43.8","9.9","8"
"","","","","","","","2020-03-08","61","37.4","48.5","61","33.8","46.6","0","0","0","","","null","0","0","19.7","13.4","27.9","9.9","8"
"","","","","","","","2020-03-09","73.9","43.7","57","73.9","39.8","55.7","0","0","0","","","null","0","0","21.9","12.3","53.7","9.9","8"
"","","","","","","","2020-03-10","71","54.3","62.2","71","54.3","62.2","0.011","100","4.17","rain","","","0","0","33.7","22.7","75.9","9.9","4"
"","","","","","","","2020-03-11","60.2","46.6","52.6","60.2","42.7","51.7","0","0","0","","","null","0","0","21.9","16","53.7","9.9","2"
"","","","","","","","2020-03-12","62.7","47.6","53.6","62.7","45.5","53","0","0","0","","","null","0","0","null","10.2","92","9.9","6"
"","","","","","","","2020-03-13","75.7","51","61.6","75.7","51","61.6","0.222","100","20.83","rain","","","0","0","34.4","20.4","81.1","9.3","5"
"","","","","","","","2020-03-14","58.8","44.8","52.2","58.8","38.7","50.5","0.067","100","12.5","rain","","","0","0","25.3","18.9","66.3","9.9","6"
"","","","","","","","2020-03-15","50","40.8","44.8","50","33.8","40.8","0.097","100","33.33","rain","","","0","0","null","14.4","75.7","9.6","2"
"","","","","","","","2020-03-16","54.9","37.9","46.3","54.9","31.7","43.4","0","0","0","","","null","0","0","16.1","14.4","57.3","9.9","5"
"","","","","","","","2020-03-17","63","43.9","52","63","40","50.2","0.011","100","4.17","rain","","","0","0","18.3","15.4","78.1","9.9","6"
"","","","","","","","2020-03-18","56.8","44.5","51.2","56.8","39","49.3","0.011","100","4.17","rain","","","0","0","19.7","14.1","60.5","9.9","4"
"","","","","","","","2020-03-19","73.7","48.8","58.1","73.7","45.3","57","0.397","100","33.33","rain","","","0","0","null","11","80","8.3","5"
"","","","","","","","2020-03-20","81.9","57.8","70.3","81.6","57.8","70.3","0.023","100","8.33","rain","","","0","0","41.1","24.9","64.9","9.2","2"
"","","","","","","","2020-03-21","71.1","48.6","54.7","71.1","42.5","53.8","0.097","100","25","rain","","","0","0","28.4","18.3","87.2","9.8","4"
"","","","","","","","2020-03-22","52","39.7","46.6","52","32.1","41.9","0","0","0","","","null","0","0","25","19.3","77","9.9","7"
"","","","","","","","2020-03-23","46","42","43.9","44.5","34.8","39.1","0.359","100","54.17","rain","","","0","0","18.3","15","88.4","7.9","1"
"","","","","","","","2020-03-24","55","43.7","48.8","55","41.3","47.2","0","0","0","","","null","0","0","null","14.7","72.7","9.9","5"
"","","","","","","","2020-03-25","50","44.7","47.4","47.1","39.3","42.8","0.307","100","50","rain","","","0","0","19.7","17.4","85.1","8.3","2"
"","","","","","","","2020-03-26","57.8","45.2","51","57.8","42.4","50.3","0","0","0","","","null","0","0","20.7","13.5","62.1","9.3","8"
"","","","","","","","2020-03-27","69","51.6","59.7","69","51.6","59.7","0","0","0","","","null","0","0","17.2","11.1","70.6","9.9","5"
"","","","","","","","2020-03-28","58.9","51.9","55.6","58.9","51.9","55.6","0.469","100","33.33","rain","","","0","0","null","16.4","90.9","8.8","1"
"","","","","","","","2020-03-29","70.1","51","56.3","70.1","51","56.3","0","0","0","","","null","0","0","null","13.9","79.9","7.7","5"
"","","","","","","","2020-03-30","74.7","53.8","60.2","74.7","53.8","60.2","0","0","0","","","null","0","0","28.8","19.9","55.7","8","8"
"","","","","","","","2020-03-31","55.7","44.7","51.1","55.7","38.7","49.8","0.096","100","20.83","rain","","","0","0","23","16.1","69.4","9.6","2"
"","","","","","","","2020-04-01","55.9","42","48.2","55.9","34.2","44.4","0.012","100","4.17","rain","","","0","0","19.7","16.6","76.5","9.9","3"
"","","","","","","","2020-04-02","62.7","42.8","53.6","62.7","37.8","51.9","0","0","0","","","null","0","0","37.9","26.2","21.5","9.9","9"
"","","","","","","","2020-04-03","66.7","47.8","56.5","66.7","42.2","55.4","0","0","0","","","null","0","0","39.9","26.5","38.3","9.9","9"
"","","","","","","","2020-04-04","58.8","49.9","54.3","58.8","45.9","54.2","0","0","0","","","null","0","0","null","14.1","91.3","9.9","3"
"","","","","","","","2020-04-05","68","46.4","56.8","68","43.1","56","0","0","0","","","null","0","0","null","10.8","61.3","9.9","5"
"","","","","","","","2020-04-06","70.8","55.1","61.8","70.8","55.1","61.8","0","0","0","","","null","0","0","17.2","12.2","46.4","9.9","9"
"","","","","","","","2020-04-07","71.4","53.3","60.3","71.4","53.3","60.3","0.352","100","8.33","rain","","","0","0","18.3","10.9","63.9","9.6","4"
"","","","","","","","2020-04-08","78","55.9","66","78","55.9","66","0.041","100","20.83","rain","","","0","0","29.5","18.1","50","9.8","8"
"","","","","","","","2020-04-09","72","49.8","59.5","72","42.8","59.2","0.137","100","4.17","rain","","","0","0","46.8","30.5","43.4","9.9","8"
"","","","","","","","2020-04-10","52.7","42.9","47.3","52.7","33.9","41.8","0","0","0","","","null","0","0","43.3","28.1","42.4","9.9","6"
"","","","","","","","2020-04-11","62.8","38.2","51","62.8","34","49.6","0","0","0","","","null","0","0","27.7","17.9","35.9","9.9","9"
"","","","","","","","2020-04-12","71.8","45.7","58","71.8","43.1","57.6","0.018","100","8.33","rain","","","0","0","24.2","18.2","72.7","9.9","7"
"","","","","","","","2020-04-13","79","58.9","66.9","79","58.9","66.9","2.511","100","66.67","rain","","","0","0","35.3","24.5","62.9","8.1","9"
"","","","","","","","2020-04-14","58.7","43","52.3","58.7","34.4","50","0.024","100","4.17","rain","","","0","0","31.6","20.8","72.6","9.6","5"
"","","","","","","","2020-04-15","53","38.7","45.6","53","32.9","42.3","0.263","100","33.33","rain","","","0","0","21.9","15.5","51.1","9.6","7"
"","","","","","","","2020-04-16","53.8","42.1","47.3","53.8","34.9","43.7","0","0","0","","","null","0","0","29.1","20.4","30.2","9.9","8"
"","","","","","","","2020-04-17","57.7","38.1","49.3","57.7","34.5","49","0","0","0","","","null","0","0","21.9","15.6","63.4","9.9","5"
"","","","","","","","2020-04-18","54.9","46.3","50.3","54.9","43.5","49.2","0.063","100","25","rain","","","0","0","37.7","27.3","56.7","9.7","6"
"","","","","","","","2020-04-19","65.8","38.1","52.8","65.8","35","51.6","0","0","0","","","null","0","0","24.2","17.8","43.9","9.9","7"
"","","","","","","","2020-04-20","63.9","52.5","56.4","63.9","52.5","56.4","0","0","0","","","null","0","0","null","13.3","69.5","9.9","4"
"","","","","","","","2020-04-21","67.8","47.8","55.8","67.8","40.9","54.6","0.02","100","4.17","rain","","","0","0","43","26.4","47.7","9.9","3"
"","","","","","","","2020-04-22","61","38.1","50.4","61","34.8","48.1","0","0","0","","","null","0","0","32","19","23.5","9.9","9"
"","","","","","","","2020-04-23","59","49.3","54","59","47.6","53.8","0.706","100","33.33","rain","","","0","0","null","10.7","73.3","7.9","2"
"","","","","","","","2020-04-24","58.8","52","55","58.8","52","55","0.642","100","41.67","rain","","","0","0","null","13","95.6","8.5","2"
"","","","","","","","2020-04-25","64","47.4","55.3","64","47.4","55.3","0.05","100","12.5","rain","","","0","0","null","13.5","78.2","9.4","4"
"","","","","","","","2020-04-26","56.8","49.9","53.1","56.8","45.5","52.4","0.246","100","41.67","rain","","","0","0","null","13","95.8","8.2","1"
"","","","","","","","2020-04-27","58.7","44.8","51.3","58.7","38.4","48.9","0.092","100","20.83","rain","","","0","0","31.6","20","69.2","9.3","3"
"","","","","","","","2020-04-28","56","44.5","51.1","56","43.5","50.6","0.024","100","16.67","rain","","","0","0","null","11.2","78.2","9.9","2"
"","","","","","","","2020-04-29","74.1","47.4","61.4","74.1","44.9","61","0","0","0","","","null","0","0","27.7","18.7","55","9.9","4"
"","","","","","","","2020-04-30","67.8","57.6","62.6","67.8","57.6","62.6","1.102","100","54.17","rain","","","0","0","34.5","22.6","71.7","7.6","1"
"","","","","","","","2020-05-01","65.8","52.9","58.8","65.8","52.9","58.8","0.102","100","29.17","rain","","","0","0","24.2","15.9","66.7","9.9","6"
