"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2014-01-01","47.9","29.5","37.9","44.2","22","34.6","0","0","0","","","null","0","0","null","10","68","9.9","null"
"","","","","","","","2014-01-02","38.8","33.2","35.9","38.5","25.7","31","0.161","100","29.17","rain","snow","","0.5","0.1","null","11.3","97.3","5.9","null"
"","","","","","","","2014-01-03","33.2","17.5","22.4","24","1","9.1","0.015","100","12.5","rain","snow","","0.5","0.7","42.6","30.5","40.8","8.6","null"
"","","","","","","","2014-01-04","33.6","16.4","25.4","31.4","9.3","18.6","0","0","0","","","null","0","0.6","16.1","13.3","17.3","9.9","null"
"","","","","","","","2014-01-05","41.2","31.7","37.1","41.2","24.1","33.9","0.041","100","20.83","rain","snow","","0","0.3","null","11","97.4","6.6","null"
"","","","","","","","2014-01-06","48.3","11.9","36.6","45.6","-7.2","27.8","0.107","100","50","rain","snow","","0","0","40.4","24.9","82.4","8","null"
"","","","","","","","2014-01-07","19.5","6.7","12.9","13.5","-11.3","-0.6","0.005","100","8.33","snow","","","0","0","29.3","18.5","9.2","9.9","null"
"","","","","","","","2014-01-08","29.9","13.3","22.2","28.3","3.5","16.1","0","0","0","","","null","0","0","null","7.8","49.7","9.9","null"
"","","","","","","","2014-01-09","39.1","28.2","33.2","36.3","22.2","29.5","0","0","0","","","null","0","0","null","8.1","85.6","9.9","null"
"","","","","","","","2014-01-10","39","28.5","34.7","38.7","25","32.4","0.339","100","75","rain","snow","","0","0","null","6.6","99.7","4.3","null"
"","","","","","","","2014-01-11","55","37.1","45.6","55","32.7","44.6","0.425","100","70.83","rain","","","0","0","35.6","14.6","98.2","4.7","null"
"","","","","","","","2014-01-12","53.4","36.6","47.3","53.4","34.4","44.2","0.001","100","4.17","rain","","","0","0","27.4","16.6","40.6","9.9","null"
"","","","","","","","2014-01-13","60.2","33.1","45.1","60.2","28.7","44.8","0.003","100","4.17","rain","","","0","0","21.9","14.6","58.3","9.7","null"
"","","","","","","","2014-01-14","53.5","41.9","48.5","53.5","40","46.4","0.623","100","33.33","rain","","","0","0","26.4","14.7","84.5","8.8","null"
"","","","","","","","2014-01-15","47.8","38.7","42.4","47.8","33.1","38.1","0.002","100","8.33","rain","","","0","0","27.2","21.2","97.4","5.4","null"
"","","","","","","","2014-01-16","42","33.2","37.3","37.9","26","31.5","0","0","0","","","null","0","0","null","15.2","51.8","9.8","null"
"","","","","","","","2014-01-17","48","31.6","38.8","45.9","26.7","34.3","0.002","100","8.33","rain","","","0","0","null","11","61.4","9.9","null"
"","","","","","","","2014-01-18","38.8","24.6","31.7","37.2","16.9","22.6","0","0","0","","","null","0","0","31.3","18.4","47.6","9.9","null"
"","","","","","","","2014-01-19","51.2","25.7","36.8","51.2","18.9","31.7","0","0","0","","","null","0","0","24.2","16.9","52","9.9","null"
"","","","","","","","2014-01-20","58.7","38.7","45.5","58.7","32.7","42.2","0","0","0","","","null","0","0","25.3","17.8","75.5","9.9","null"
"","","","","","","","2014-01-21","39.8","17.5","30.5","37.9","0.4","20.5","0.072","100","37.5","rain","snow","","0.8","0.3","33.8","24.2","96.4","5.3","null"
"","","","","","","","2014-01-22","18.8","8.5","14.2","8.3","-9.8","-1.2","0","0","0","snow","","","1","1.4","34","27","39.2","9.8","null"
"","","","","","","","2014-01-23","26.5","11.3","18.7","17.8","2.1","8.6","0","0","0","","","null","0","1.3","27.5","16.8","59","9.8","null"
"","","","","","","","2014-01-24","22.9","11.6","17.6","13.8","-2.7","5.7","0","0","0","","","null","0","0.9","24.2","17.5","17","9.9","null"
"","","","","","","","2014-01-25","33.8","22.7","27.7","26.2","8.2","15.7","0","0","0","","","null","0","0.6","32.7","22.9","89","9.9","null"
"","","","","","","","2014-01-26","34.8","20.3","28.6","32.8","10.2","23.1","0","0","0","","","null","0","0.3","26.8","17.6","53.7","9.9","null"
"","","","","","","","2014-01-27","51.3","24.7","36.5","51.3","9.7","27.8","0","0","0","rain","","","0","0.2","35.7","25.4","78.3","9.9","null"
"","","","","","","","2014-01-28","22.8","13.8","17.4","16.9","-3","6","0","0","0","snow","","","0.5","0.2","30.8","21.7","95.1","9.4","null"
"","","","","","","","2014-01-29","25.9","12.3","19","19.1","-3.9","8.4","0.011","100","8.33","snow","","","0.3","0.5","23.7","18.1","62.3","8.8","null"
"","","","","","","","2014-01-30","33.2","14.7","24","27.7","6.5","17.2","0","0","0","","","null","0","0.1","null","9","14.5","9.9","null"
"","","","","","","","2014-01-31","49.9","24.2","35.2","49.3","14.9","31.6","0","0","0","","","null","0","0.1","null","8.8","84.8","9.9","null"
"","","","","","","","2014-02-01","52.9","28.2","39.9","52.9","22.3","38.3","0","0","0","","","null","0","0","null","10.2","67.4","9.9","null"
"","","","","","","","2014-02-02","62.2","34","47.1","62.2","34","46.3","0","0","0","","","null","0","0","null","9.1","83.2","9.9","null"
"","","","","","","","2014-02-03","47.9","34.9","39.9","43.3","26.2","32.4","1.371","100","54.17","rain","","","0","0","22.9","16.4","97.4","7.3","null"
"","","","","","","","2014-02-04","38.7","29.6","33.8","37.5","22.2","28.5","0.019","100","4.17","rain","snow","","0","0","null","9.9","87.3","9.5","null"
"","","","","","","","2014-02-05","43.6","33.1","36.3","36.8","24.6","30.6","0.364","100","45.83","rain","snow","","0","0","39.1","29","85.2","7.6","null"
"","","","","","","","2014-02-06","36.9","29.7","33.3","34.7","17.4","25.4","0","0","0","","","null","0","0","31.1","19","80.5","9.9","null"
"","","","","","","","2014-02-07","42.3","29.1","35.7","38.5","22.7","30.8","0","0","0","","","null","0","0","null","10.7","57.8","9.9","null"
"","","","","","","","2014-02-08","35.3","29.1","31.9","35.3","21.7","28.1","0","0","0","","","null","0","0","null","9.6","82.5","9.8","null"
"","","","","","","","2014-02-09","35.5","27.9","32.1","33.6","23.6","28.5","0","0","0","","","null","0","0","null","9.9","89.7","9.1","null"
"","","","","","","","2014-02-10","33.5","26","30.2","25.1","15.1","20.8","0","0","0","","","null","0","0","24.2","16.8","78.2","9.8","null"
"","","","","","","","2014-02-11","34.7","21.2","26.8","30.3","9.2","18.8","0","0","0","","","null","0","0","null","13.6","46.8","9.9","null"
"","","","","","","","2014-02-12","29.7","18.7","24.9","24","8.1","15.8","0.058","100","12.5","rain","snow","","1.3","0.5","null","13.5","71.3","8.6","null"
"","","","","","","","2014-02-13","37.5","26.5","34.3","29","13.5","24","1.563","100","95.83","rain","snow","","1.9","2.6","32.5","23.2","100","3.1","null"
"","","","","","","","2014-02-14","51.5","34.8","41.6","51.5","27.4","37.2","0.044","100","4.17","rain","","","0","2.4","35.1","19.6","43.5","9.9","null"
"","","","","","","","2014-02-15","38.9","31.7","36.2","35.3","19.7","28.3","0.099","100","45.83","rain","snow","","0","1.3","36.3","24.1","80.5","8.5","null"
"","","","","","","","2014-02-16","37.2","26.5","32.2","37.1","18.1","25.8","0","0","0","","","null","0","0.9","26.2","16.1","77.6","9.9","null"
"","","","","","","","2014-02-17","36.7","24.6","30.4","36.7","13.1","23.9","0","0","0","rain","snow","","0.2","0.8","18.3","13.7","57.9","9.9","null"
"","","","","","","","2014-02-18","56.8","29.8","40.2","56.8","19.8","35.3","0.048","100","20.83","rain","snow","","0.5","1","23.9","15.7","44.6","9.3","null"
"","","","","","","","2014-02-19","62","35.6","47.8","62","29.8","46.2","0.094","100","16.67","rain","","","0","0.6","27.5","16.2","67.9","9.7","null"
"","","","","","","","2014-02-20","55.4","36.6","46.4","55.4","34.2","45.7","0","0","0","","","null","0","0.3","19.1","10.6","87.2","9.9","null"
"","","","","","","","2014-02-21","66.2","41.7","49.5","66.2","39","49.1","0.031","100","12.5","rain","","","0","0.1","37.8","19","76.6","9.5","null"
"","","","","","","","2014-02-22","63.9","33.3","47","63.9","28.3","44.6","0","0","0","","","null","0","0","25.1","15.8","35.6","9.8","null"
"","","","","","","","2014-02-23","62.6","46.6","52.2","62.6","41.6","50.3","0","0","0","","","null","0","0","21.9","15.8","75.3","9.9","null"
"","","","","","","","2014-02-24","46.5","34.9","41.7","41.5","29.6","34.7","0.003","100","4.17","rain","","","0","0","33.3","24.2","34.7","9.9","null"
"","","","","","","","2014-02-25","37.4","30.1","33.8","34.3","23","29.7","0.108","100","20.83","rain","snow","","0","0","null","9.6","75.8","8.3","null"
"","","","","","","","2014-02-26","37.1","26.3","32","31.5","18.7","25.1","0.072","100","25","rain","snow","","0.1","0.1","26.2","19","62.6","8.1","null"
