"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2017-01-01","55","38.3","46","55","36.4","44.3","0","0","0","","","null","0","0","24.2","12.7","60.5","9.9","null"
"","","","","","","","2017-01-02","46.5","40.9","43.4","45.8","34.7","39","0.348","100","54.17","rain","","","0","0","null","11.2","97.9","5.1","null"
"","","","","","","","2017-01-03","46","42.9","44.3","46","37.7","41","0.855","100","41.67","rain","","","0","0","null","9.2","97.9","4.8","null"
"","","","","","","","2017-01-04","56.7","37.8","47.2","56.7","30.4","43.8","0.002","100","8.33","rain","","","0","0","29.9","16","54.9","6.6","null"
"","","","","","","","2017-01-05","35.8","29.7","33.9","35","21.7","28.5","0","0","0","","","null","0","0","null","11.2","60.7","9.6","null"
"","","","","","","","2017-01-06","35.8","27.9","31.5","30.6","18.1","22.4","0","0","0","","","null","0","0","21.9","15.6","73.7","9.8","null"
"","","","","","","","2017-01-07","27.9","19.8","23.6","16.7","5.6","11","0.012","100","8.33","snow","","","0","0","28.7","22.7","63.7","8.3","null"
"","","","","","","","2017-01-08","24.7","15","19.7","11.6","-1.4","6.5","0","0","0","","","null","0","0","35.2","22.7","14.9","9.9","null"
"","","","","","","","2017-01-09","27.9","16.6","21.3","18.4","7.4","12.2","0","0","0","","","null","0","0","18.3","14.5","64","9.9","null"
"","","","","","","","2017-01-10","40.9","22.4","30.3","33.3","12.6","21.4","0","0","0","","","null","0","0","32.7","22.9","77.4","9.9","null"
"","","","","","","","2017-01-11","56.2","38","45.5","56.2","30.6","41.6","0.072","100","16.67","rain","","","0","0","28.9","17.9","68.7","9.8","null"
"","","","","","","","2017-01-12","71.8","51.2","61.1","71.8","51.2","61.1","0.023","100","12.5","rain","","","0","0","36.2","27.9","63.5","9.9","null"
"","","","","","","","2017-01-13","63.9","43.9","53","63.9","37","51.3","0","0","0","","","null","0","0","27","21.3","76.9","9.9","null"
"","","","","","","","2017-01-14","43","33.9","36.6","37.1","28.8","32.8","0.29","100","54.17","rain","snow","","0","0","null","10.7","92.3","8.6","null"
"","","","","","","","2017-01-15","47.7","35.8","41.2","45.8","30.8","37.8","0","0","0","","","null","0","0","null","10.3","78","9.3","null"
"","","","","","","","2017-01-16","45.9","37.8","41.3","41.4","33.8","38.2","0","0","0","","","null","0","0","null","9","95.9","9.9","null"
"","","","","","","","2017-01-17","51.3","40.8","45.1","51.3","37.2","42.7","0.223","100","37.5","rain","","","0","0","17.2","13.2","86","7","null"
"","","","","","","","2017-01-18","59.8","44.9","50.8","59.8","40.7","49","0","0","0","","","null","0","0","27.9","18.8","71.2","6.9","null"
"","","","","","","","2017-01-19","52","40.3","46.7","52","37.7","44.2","0","0","0","","","null","0","0","null","12.3","69.3","9.9","null"
"","","","","","","","2017-01-20","48.5","39.1","44.2","47.7","35.5","42.8","0.011","100","4.17","rain","","","0","0","null","9","87.2","9.4","null"
