"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype","days__preciptype__001","days__preciptype__002","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"64","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2025-01-01","50.9","40.6","47.1","50.9","36","42.8","0.013","100","4.17","","rain","","null","null","52.2","29.3","72.7","9.8","5"
"","","","","","","","2025-01-02","44.6","37.5","39.7","38.2","29.3","32.9","0","0","0","null","","","null","null","40.3","18.1","65.2","9.9","4"
"","","","","","","","2025-01-03","44.8","30.7","35.8","37.9","18.8","29.2","0.035","100","12.5","","rain","","null","null","38.3","18.1","71.9","9.5","3"
"","","","","","","","2025-01-04","33.6","26.8","30.2","22","16.4","19.1","0","0","0","null","","","null","0","44.5","23.7","44.6","9.9","5"
"","","","","","","","2025-01-05","36.9","23.7","30.9","35.4","15.8","24.8","0","0","0","null","","","null","0","21.8","13.9","55.2","9.9","5"
"","","","","","","","2025-01-06","33.8","28","29.1","28.9","17.6","21","0.852","100","91.67","","rain","snow","null","3.9","20","14.8","99.4","3","1"
"","","","","","","","2025-01-07","35.1","22","28.9","27.8","9.3","17.3","0","0","0","null","","","null","6","36.4","25.2","46.2","9.9","5"
"","","","","","","","2025-01-08","33.9","25.8","29","24.5","13.2","18.5","0","0","0","null","","","null","4.6","33.7","19.7","77.5","9.9","7"
"","","","","","","","2025-01-09","33.8","22.9","28.1","23.4","10.9","16.6","0","0","0","null","","","null","3.6","44.2","28.4","11.6","9.9","5"
"","","","","","","","2025-01-10","34.8","24.9","30","33.6","11.8","22.3","0","0","0","null","","","null","3.1","27.6","16.9","63.1","9.9","4"
"","","","","","","","2025-01-11","38.7","28.9","32.8","29.7","20.4","25.3","0.05","100","16.67","","rain","snow","null","3.8","33.6","18.4","77.8","8.5","5"
"","","","","","","","2025-01-12","42","27.3","34.4","42","21.4","30.1","0","0","0","null","","","null","2.3","null","8.8","30.7","9.8","5"
"","","","","","","","2025-01-13","49.6","28.6","37.5","48.6","22.9","33.6","0","0","0","null","","","null","1.7","17.3","9.1","49.6","9.9","5"
"","","","","","","","2025-01-14","37.4","28.8","32.9","35.6","15.6","24.3","0","0","0","null","","","null","1.2","34.1","25","29.6","9.9","5"
"","","","","","","","2025-01-15","32.9","22.9","27.5","24.1","11.5","16.9","0","0","0","null","","","null","0.8","33.7","20.7","9.8","9.9","5"
"","","","","","","","2025-01-16","36.9","20.2","28.6","33.1","12.9","22.5","0.011","100","4.17","","rain","snow","null","0","18.3","13.3","69.7","9.6","3"
"","","","","","","","2025-01-17","45.3","30.6","37.1","43.1","24.6","32.4","0","0","0","null","","","null","0","null","12.6","51.1","9.9","5"
"","","","","","","","2025-01-18","44.8","34.1","38.1","41","27.2","33.6","0.018","100","4.17","","rain","","null","null","null","11.2","67.7","9.9","1"
"","","","","","","","2025-01-19","40.7","28.9","35.6","37.6","17.2","29.5","0.214","100","16.67","","rain","snow","null","null","35.4","21.9","94.5","7.7","1"
"","","","","","","","2025-01-20","28.8","16.9","24.7","21.2","3.5","13.9","0","0","0","null","","","null","0","29.8","20.1","32","9.9","5"
"","","","","","","","2025-01-21","21.7","15.9","19.2","21.7","2.4","11.8","0","0","0","null","","","null","0","19.7","12.4","86.4","9.9","4"
"","","","","","","","2025-01-22","24.1","14.9","19.4","21.7","0.6","10.9","0","0","0","null","","","null","0","null","14.8","61.8","9.9","5"
"","","","","","","","2025-01-23","30.7","14.4","22.7","28.9","7","17.1","0","0","0","null","","","null","0","null","9.9","52.5","9.9","4"
"","","","","","","","2025-01-24","38.8","20.2","29.6","35.6","12.7","25.3","0","0","0","null","","","null","null","null","11.4","64.6","9.9","5"
"","","","","","","","2025-01-25","40.9","22.2","31.4","35.6","18.2","26.4","0","0","0","null","","","null","null","23","14.2","35.9","9.9","5"
"","","","","","","","2025-01-26","49.8","32.4","38.6","47.9","26.6","35.7","0","0","0","null","","","null","null","null","7.6","60.1","9.9","3"
"","","","","","","","2025-01-27","50.9","26.7","37.5","50.9","23.1","34.2","0","0","0","null","","","null","null","null","11.3","27.8","9.9","6"
"","","","","","","","2025-01-28","53.6","33","41.5","53.6","26.8","38","0","0","0","null","","","null","null","32.1","19.8","43.6","9.9","5"
"","","","","","","","2025-01-29","61.9","38.8","49.7","61.9","31.3","46.8","0","0","0","null","","","null","null","39.5","22.8","13.2","9.9","6"
"","","","","","","","2025-01-30","53.9","34.7","45.1","53.9","34.7","42.8","0","0","0","null","","","null","null","16.1","10","53.5","9.9","5"
"","","","","","","","2025-01-31","53.1","42.3","47.3","53.1","36.9","44.3","0.696","100","66.67","","rain","","null","null","24.4","16.7","95.7","8.2","1"
"","","","","","","","2025-02-01","52.8","32.9","46.1","52.8","23.9","41.1","0.053","100","8.33","","rain","","null","null","38.6","22.5","52.6","8.9","6"
"","","","","","","","2025-02-02","39.6","26.6","33.7","35","17.9","28.1","0","0","0","null","","","null","null","null","9.6","65.2","9.9","4"
"","","","","","","","2025-02-03","52.3","33","42.3","52.3","31","40.7","0","0","0","null","","","null","null","null","9.2","68.5","9.9","2"
"","","","","","","","2025-02-04","62.9","39.3","50.2","62.9","32.9","47.7","0","0","0","null","","","null","null","36.4","24.2","46.8","9.9","6"
"","","","","","","","2025-02-05","40.8","34.9","38.3","40.8","28.3","33.9","0.005","100","4.17","","rain","snow","null","null","null","13","95.3","9.9","3"
"","","","","","","","2025-02-06","47","33.9","39.2","44.5","27.4","34.7","0.866","100","54.17","","rain","snow","null","null","23","14.4","83.1","7.7","1"
"","","","","","","","2025-02-07","53.6","38.4","46","53.6","33.7","42.6","0","0","0","null","","","null","null","32.6","20.3","47.6","9.7","7"
"","","","","","","","2025-02-08","37.8","33","35.7","37.4","26.2","31.3","0.049","100","4.17","","rain","snow","null","null","null","9.8","93.7","9.1","1"
"","","","","","","","2025-02-09","47.7","34.9","40.6","41.2","28.3","34.8","0","0","0","null","","","null","null","29.5","20.7","84","9.1","5"
"","","","","","","","2025-02-10","46.8","35.4","39.8","42","29.3","34.1","0","0","0","null","","","null","null","20.8","14.9","60.4","9.9","6"
"","","","","","","","2025-02-11","37.9","30.8","33.9","37.9","24.1","29.5","0.498","100","33.33","","rain","snow","null","3.2","null","8.8","93.8","6.3","2"
"","","","","","","","2025-02-12","37","31.8","34.5","34.5","23.3","28.5","0.172","100","62.5","","rain","snow","null","5","null","10.4","100","4.2","1"
"","","","","","","","2025-02-13","55.6","36.9","41.3","55.6","29.5","37.3","0.142","100","25","","rain","","null","1.9","55.9","22.2","88.8","7","6"
"","","","","","","","2025-02-14","43.8","33","37.8","38","22.3","31.6","0","0","0","null","","","null","null","29.7","16.7","26.6","9.9","7"
"","","","","","","","2025-02-15","41","35.3","37.7","39.1","29.4","33.3","0.439","100","41.67","","rain","","null","null","null","13.8","96.2","8.7","1"
"","","","","","","","2025-02-16","64.9","38.9","46.7","64.9","28.7","43.2","0.297","100","41.67","","rain","","null","null","55.7","26.2","76.2","6.4","4"
"","","","","","","","2025-02-17","42.9","33","37.4","35.1","22.5","28.2","0","0","0","null","","","null","null","58.2","27.4","33.3","9.9","7"
"","","","","","","","2025-02-18","36.6","24.9","30.7","28","12.3","21","0","0","0","null","","","null","null","26.4","19.2","74.8","9.9","7"
"","","","","","","","2025-02-19","26","20.8","23.2","20.4","7","14","0","0","0","null","","","null","0","18.3","18.5","84","9.5","2"
"","","","","","","","2025-02-20","31.6","24","27.4","21","10.8","15.6","0","0","0","null","","","null","0","41.4","22.8","82.8","9.9","6"
"","","","","","","","2025-02-21","40.6","26.7","32.1","31.2","13.4","21.3","0","0","0","null","","","null","null","38.2","22.5","17.3","9.9","7"
"","","","","","","","2025-02-22","42.9","23.8","33.7","38.8","17.9","28.3","0","0","0","null","","","null","null","null","15.3","44.1","9.9","7"
"","","","","","","","2025-02-23","53.6","28.6","40.9","53.6","23.6","37.6","0","0","0","null","","","null","null","21.8","12.5","36.3","9.9","7"
"","","","","","","","2025-02-24","56.9","36.2","45.3","56.9","33.3","43.6","0","0","0","null","","","null","null","19.7","12.7","70.3","9.9","7"
"","","","","","","","2025-02-25","67.7","38.7","52.2","67.7","36.4","51.3","0","0","0","null","","","null","null","19.7","12.2","59.6","9.9","6"
"","","","","","","","2025-02-26","67.7","38.9","52","67.7","31.2","50.6","0","0","0","null","","","null","null","24.2","15.5","45.4","9.9","7"
"","","","","","","","2025-02-27","65.9","46.7","55.6","65.9","44","55.1","0.023","100","8.33","","rain","","null","null","37.9","23.5","87.8","9.9","2"
"","","","","","","","2025-02-28","57.6","45.8","50.9","57.6","41.1","48.5","0","0","0","null","","","null","null","27.1","18.1","46","9.9","7"
"","","","","","","","2025-03-01","65.2","31.9","49.7","65.2","19.2","45.8","0","0","0","null","","","null","null","44.7","29.2","46.6","9.9","7"
"","","","","","","","2025-03-02","40.7","22.9","32","37.8","10","22.8","0","0","0","null","","","null","null","36.1","26.8","17.1","9.9","7"
"","","","","","","","2025-03-03","45.9","29.4","37.2","43.5","21.5","32","0","0","0","null","","","null","null","18.3","12.3","37.9","9.9","7"
"","","","","","","","2025-03-04","64","35.3","49.6","64","29.9","47.2","0","0","0","null","","","null","null","29.2","20.5","72.3","9.9","7"
"","","","","","","","2025-03-05","62.9","54.9","58.1","62.9","54.9","58.1","0.656","100","29.17","","rain","","null","null","32.7","20.8","95.9","9.2","2"
