"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"366","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2024-01-01","43","38.9","40.8","41.8","31.4","36.4","0","0","0","","","null","null","null","18.3","13.6","90.3","9.9","1"
"","","","","","","","2024-01-02","45.9","35.7","40.4","40.9","27.2","33.8","0","0","0","","","null","null","null","29.6","18.1","47.5","9.9","5"
"","","","","","","","2024-01-03","47.8","33.7","39.9","44.6","27.8","36.4","0","0","0","","","null","null","null","null","8.8","68.7","9.9","5"
"","","","","","","","2024-01-04","46.7","33.2","40.4","41.9","24.1","34.6","0","0","0","","","null","null","null","32","21.8","68.5","9.9","4"
"","","","","","","","2024-01-05","39.9","27.8","33.6","35.8","19.4","28","0","0","0","","","null","null","null","null","13.2","44.5","9.9","5"
"","","","","","","","2024-01-06","39.8","33.4","36.8","33.6","27","30.6","0.918","100","41.67","rain","","","null","null","31.2","17","97","7.7","1"
"","","","","","","","2024-01-07","51.9","34","41.3","51.9","28.8","36","0","0","0","","","null","null","null","36.4","19.4","70.5","9.2","4"
"","","","","","","","2024-01-08","47.8","37.4","42","47.8","32.9","38.1","0","0","0","","","null","null","null","26.5","14.6","62.2","9.9","4"
"","","","","","","","2024-01-09","57.2","38.4","47.5","57.2","31.6","44.1","2.278","100","58.33","rain","","","null","null","46.7","31.4","97.7","7.4","0"
"","","","","","","","2024-01-10","56.2","40.4","49.3","56.2","36.4","46.5","0.005","100","16.67","rain","","","null","null","41.1","20.9","70.8","9.9","4"
"","","","","","","","2024-01-11","52.1","32.9","42.5","52.1","26.9","39.2","0","0","0","","","null","null","null","18.3","11.2","20.4","9.9","5"
"","","","","","","","2024-01-12","52.3","33.9","43.9","52.3","29.9","40.9","0.335","100","20.83","rain","","","null","null","30.7","17.6","56.9","9.4","4"
"","","","","","","","2024-01-13","54.2","36","47.4","54.2","28.7","43.7","0.046","100","20.83","rain","","","null","null","42.6","26.9","60.1","9.6","5"
"","","","","","","","2024-01-14","45","30.9","35.6","37.9","21.2","27.3","0","0","0","","","null","null","null","46.1","23.8","35.7","9.9","5"
"","","","","","","","2024-01-15","30.8","26","28.5","29","19.7","23.5","0.275","100","54.17","rain","snow","","null","2.1","null","15.5","98","4.3","1"
"","","","","","","","2024-01-16","30.8","20","28.2","23.9","7","18","0.058","100","33.33","rain","snow","","null","2.9","37.5","24","83.7","7.8","4"
"","","","","","","","2024-01-17","29.1","15.8","23","21.8","6.1","13.9","0","0","0","","","null","null","2","21.9","13.7","7.8","9.9","5"
"","","","","","","","2024-01-18","35.9","23.4","29.9","35.6","16","26.1","0","0","0","","","null","null","1.8","null","7.6","77","9.9","3"
"","","","","","","","2024-01-19","33.2","29.7","31.5","33.2","20.2","24.2","0.219","100","62.5","rain","snow","","null","3.8","20.8","12.7","92","5","0"
"","","","","","","","2024-01-20","28.9","20.8","24.3","19.8","7.7","12.9","0.001","100","4.17","snow","","","null","4.2","35.7","19.9","59.5","9.9","5"
"","","","","","","","2024-01-21","33.1","20.8","27.1","25.7","9.4","16.8","0","0","0","","","null","null","2.9","36.1","18.6","19.7","9.9","5"
"","","","","","","","2024-01-22","38.4","21","29.5","38.4","15.1","24.8","0","0","0","","","null","null","3.4","null","9.8","36","9.9","5"
"","","","","","","","2024-01-23","45","29.3","36.3","45","26.5","34.6","0","0","0","","","null","null","2.3","null","8.3","81.8","9.9","3"
"","","","","","","","2024-01-24","51.5","38","44","51.5","33.8","42.8","0","0","0","","","null","null","0.6","null","5.5","96.6","9.4","1"
"","","","","","","","2024-01-25","65.3","46.4","55.2","65.3","44.5","55","0.104","100","37.5","rain","","","null","null","null","6.9","99.8","5.7","1"
"","","","","","","","2024-01-26","78.9","57.4","65.9","78.9","57.4","65.9","0.047","100","4.17","rain","","","null","null","22.8","13.4","85.9","7.7","6"
"","","","","","","","2024-01-27","60.8","45.3","52.4","60.8","43.3","51.9","0.082","100","8.33","rain","","","null","null","null","12.3","70.3","9.7","4"
"","","","","","","","2024-01-28","46","42.1","44.4","42.9","34.4","39.1","1.274","100","58.33","rain","","","null","null","23","15.7","99.8","6.6","1"
"","","","","","","","2024-01-29","47.7","41.9","43.8","40.7","34.4","36.7","0","0","0","","","null","null","null","35.4","23.2","91.5","9.9","3"
