"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype","days__preciptype__001","days__preciptype__002","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2021-01-01","40.8","35.9","37.6","34.8","28.7","31.8","0.81","100","41.67","","rain","","0","0","20.8","16.2","99.9","8.3","1"
"","","","","","","","2021-01-02","56.9","37","44.9","56.9","31.5","41.9","0.001","100","4.17","","rain","","0","0","26.4","14","89.8","8.4","2"
"","","","","","","","2021-01-03","43","38.9","40.6","42.7","31.8","35.9","0.279","100","29.17","","rain","","0","0","null","11.3","98.4","8.5","0"
"","","","","","","","2021-01-04","46.1","34.7","40.5","44","29.8","36.9","0","0","0","null","","","0","0","null","9.8","81","9.6","2"
"","","","","","","","2021-01-05","42.8","39.6","40.9","41.8","32.4","37.3","0.028","100","4.17","","rain","","0","0","null","12.3","99.5","9.7","1"
"","","","","","","","2021-01-06","42.9","38.6","40.5","35.3","32.3","33.3","0","0","0","null","","","0","0","30.9","21.3","99.4","9.9","1"
"","","","","","","","2021-01-07","46.9","33.8","39.7","42.4","26.4","33.3","0","0","0","null","","","0","0","31.8","19.3","47.6","9.9","4"
"","","","","","","","2021-01-08","37.9","33.8","35.6","34.3","24.9","29.3","0","0","0","null","","","0","0","null","13.4","88.8","9.9","2"
"","","","","","","","2021-01-09","46.9","31.8","38.4","39.7","21.1","29.9","0","0","0","null","","","0","0","32.4","20.2","51.5","9.9","4"
"","","","","","","","2021-01-10","48.7","34.9","40.6","45.2","28.5","36.2","0","0","0","null","","","0","0","27.5","13.8","22.2","9.9","4"
"","","","","","","","2021-01-11","43.1","29.2","36.3","39.7","27.5","34.4","0","0","0","null","","","0","0","null","7.9","78.7","9.9","2"
"","","","","","","","2021-01-12","48.8","29.3","37.2","46","24.4","35.6","0","0","0","null","","","0","0","null","8.8","27.4","9.4","3"
"","","","","","","","2021-01-13","50.1","30.2","39.1","50.1","25.5","37.8","0","0","0","null","","","0","0","null","9.8","38.6","9.7","3"
"","","","","","","","2021-01-14","55.1","31.4","41.7","55.1","31.4","41.3","0","0","0","null","","","0","0","null","12.2","48.4","8.9","4"
"","","","","","","","2021-01-15","52","34.7","43.3","52","27.4","40.3","0.168","100","16.67","","rain","","0","0","23","14.4","91.5","9","3"
"","","","","","","","2021-01-16","46.9","37.7","42.3","45.9","31.2","36.9","0","0","0","null","","","0","0","31.1","14.1","60.9","9.8","3"
"","","","","","","","2021-01-17","48.6","33.7","40.4","43.3","26.6","34.7","0","0","0","null","","","0","0","23","13.4","81.2","9.9","3"
"","","","","","","","2021-01-18","45.9","34.7","39.9","39.9","30.7","34.7","0","0","0","null","","","0","0","30.7","17.3","74.4","9.9","3"
"","","","","","","","2021-01-19","52","33.7","41.1","52","28.8","37.3","0","0","0","null","","","0","0","30.6","16.1","60.9","9.9","4"
"","","","","","","","2021-01-20","44.8","31.6","38.8","39.5","26.1","32.7","0","0","0","null","","","0","0","47.3","27.1","72.7","9.9","3"
"","","","","","","","2021-01-21","53.9","26.7","39.9","53.9","21.2","35.9","0","0","0","null","","","0","0","null","13.5","35.9","9.9","4"
"","","","","","","","2021-01-22","49.9","32.9","41.3","45.1","27.5","35.8","0","0","0","null","","","0","0","31.1","19.4","27.8","9.9","4"
"","","","","","","","2021-01-23","39.6","26.9","33.1","31.8","14.3","22.8","0","0","0","null","","","0","0","36.2","22","38.6","9.8","4"
"","","","","","","","2021-01-24","37","26","31.7","37","15.5","25.9","0","0","0","null","","","0","0","16.1","11.5","82.8","9.9","4"
"","","","","","","","2021-01-25","38.8","31.9","35.9","35.7","24.4","31.2","0.173","100","25","","rain","snow","0","0","null","10","99.3","8.8","1"
"","","","","","","","2021-01-26","38","31.9","34.9","37.1","23.8","31.3","0.079","100","33.33","","rain","snow","0","0","null","9.7","100","3.5","1"
"","","","","","","","2021-01-27","43","35.8","39.4","37.7","26.4","33.5","0","0","0","null","","","0","0","25.3","16.9","94.3","8.7","3"
"","","","","","","","2021-01-28","35.9","28","32.6","28.5","15.7","21","0.001","100","4.17","","rain","snow","0","0","42.6","27.1","61.3","9.9","4"
"","","","","","","","2021-01-29","33","24.9","28.8","22.1","10.6","17.2","0","0","0","null","","","0","0","37.7","24.8","70.2","9.9","2"
"","","","","","","","2021-01-30","38.7","23.8","31.1","37.8","15.1","24.9","0","0","0","","rain","snow","0.3","0.1","18.3","13.3","53.2","9.9","4"
"","","","","","","","2021-01-31","33.8","29.8","31.5","32","20.7","24.6","0.432","100","62.5","","rain","snow","1.2","0.9","null","14.8","98.6","3.5","0"
"","","","","","","","2021-02-01","33.9","29.1","31.5","27.4","17.3","21.2","0.165","100","33.33","","rain","snow","0.8","2.1","34.4","19.2","99.5","5.8","1"
"","","","","","","","2021-02-02","36.9","32","34.2","27","21","23.9","0.156","100","62.5","","rain","snow","0.2","2.4","44.1","22.4","99.8","6.5","2"
"","","","","","","","2021-02-03","42","31.9","36.4","35","21.3","27.3","0","0","0","null","","","0","1.3","36","22.4","76.1","9.9","3"
"","","","","","","","2021-02-04","49.7","30.6","38.4","48","22.5","33.1","0","0","0","null","","","0","0.5","28.6","16.5","38.3","9.9","5"
"","","","","","","","2021-02-05","55.8","38","45.7","55.8","30.2","41","0.066","100","16.67","","rain","","0","0.2","30.7","16.5","71.1","9.9","5"
"","","","","","","","2021-02-06","51.1","33.7","42.4","51.1","27.7","38.7","0","0","0","null","","","0","0","25.2","15.9","85.6","9.9","4"
"","","","","","","","2021-02-07","43.5","31.6","38","43.5","25.2","32.2","0.491","100","50","","rain","snow","0.1","0","26.2","15.4","78.4","8.4","3"
"","","","","","","","2021-02-08","38.8","25.7","30.9","32.8","15.5","23.9","0.004","100","4.17","","snow","","0","0","null","14.1","25","9.9","5"
"","","","","","","","2021-02-09","50.1","30.4","39.1","50.1","23.9","35.3","0","0","0","null","","","0","0","null","14.2","88","9.9","4"
"","","","","","","","2021-02-10","42.1","33.7","36.9","40.7","26","32.6","0.164","100","29.17","","rain","snow","0","0","null","9.5","90.6","8.1","4"
"","","","","","","","2021-02-11","35.7","33","34.4","31.7","25.1","27.5","0.21","100","41.67","","rain","snow","0","0","null","13.2","99.2","6","1"
"","","","","","","","2021-02-12","31.9","28.9","30.5","27.4","18.9","23.3","0","0","0","null","","","0","0","null","13.2","99.2","9.5","1"
"","","","","","","","2021-02-13","30.7","28.8","30.1","25.3","18.7","21.5","0.42","100","37.5","","rain","snow","0","0","null","13.2","99.8","7.5","1"
"","","","","","","","2021-02-14","38","28.8","33.4","33.5","19.8","26.9","0","0","0","null","","","0","0","null","10.8","99.6","6.7","2"
"","","","","","","","2021-02-15","41","35.8","37.3","39.9","27.1","32","0.232","100","16.67","","rain","","0","0","null","13.2","99.6","7.5","2"
"","","","","","","","2021-02-16","44","29.8","37.9","40.7","19.4","32.4","0.738","100","25","","rain","","0","0","34","21","93.1","8.5","2"
"","","","","","","","2021-02-17","36.9","26","30.5","36.9","14.1","23.5","0","0","0","null","","","0","0","24.3","15.7","72.3","9.9","5"
"","","","","","","","2021-02-18","31.9","27.9","29.7","23.6","19.4","21","0.414","100","33.33","","rain","snow","0","0.1","20.8","14.6","98.8","5.9","2"
"","","","","","","","2021-02-19","39.8","30.6","34","31.6","21.1","25.5","0.055","100","16.67","","rain","snow","0.1","0.2","28.9","20.8","96.5","7.5","2"
"","","","","","","","2021-02-20","32.1","26.8","29.8","23","15.6","19.1","0","0","0","null","","","0","0.1","34.4","20.8","68.4","9.9","5"
"","","","","","","","2021-02-21","38","25.1","31.5","35.6","13.7","24.7","0","0","0","null","","","0","0.1","null","12.8","50","9.9","5"
"","","","","","","","2021-02-22","39.8","31.8","34.3","34.6","22.9","27.1","0.417","100","33.33","","rain","snow","0","0","25.3","14.7","85.3","8.1","1"
"","","","","","","","2021-02-23","58.8","30.6","43.2","58.8","22.8","40","0.007","100","4.17","","rain","snow","0","0","38.1","21.4","55.6","8.1","4"
