"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"366","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2012-01-01","60.3","38.3","49.2","60.3","34.3","47.9","0","0","0","","","null","0","0","28.1","19.1","51.5","9.6","null"
"","","","","","","","2012-01-02","48.3","33.7","39.9","42.1","25.6","32.3","0","0","0","","","null","0","0","39.5","28.3","66.5","9.9","null"
"","","","","","","","2012-01-03","31.9","22.8","28.7","23.9","10.4","17.6","0","0","0","","","null","0","0","38.5","27.1","52.9","9.9","null"
"","","","","","","","2012-01-04","34.9","17","25.8","33.5","4.6","17.8","0","0","0","","","null","0","0","31.1","18","64.8","9.9","null"
"","","","","","","","2012-01-05","48.3","31.6","39.2","44.5","28.4","36.4","0","0","0","","","null","0","0","19.5","12.6","74.7","9.8","null"
"","","","","","","","2012-01-06","62.7","33.6","46.3","62.7","28.4","44","0","0","0","","","null","0","0","null","11.5","51.6","9.8","null"
"","","","","","","","2012-01-07","67.8","35.3","51.1","67.8","29","49.5","0","0","0","","","null","0","0","19.5","12.5","48.4","9.9","null"
"","","","","","","","2012-01-08","51.3","37","45.3","51.3","30.6","41.9","0","0","0","","","null","0","0","20.8","12.7","75.7","9.9","null"
"","","","","","","","2012-01-09","39.2","33.3","35.5","36.9","29.1","32.6","0.163","100","29.17","rain","snow","","0","0","null","6.8","97.1","8.1","null"
"","","","","","","","2012-01-10","53.5","32","40.8","53.5","23.8","37.5","0.003","100","4.17","rain","","","0","0","null","14.6","59.9","7.7","null"
"","","","","","","","2012-01-11","46.8","33.1","40.3","45","27.8","36.6","0.361","100","37.5","rain","","","0","0","25.3","9.8","74","7.3","null"
"","","","","","","","2012-01-12","57.3","44.2","50.4","57.3","40.7","48.6","0.408","100","29.17","rain","","","0","0","null","13.5","83.7","8.9","null"
"","","","","","","","2012-01-13","51.3","30.4","39.5","51.3","23.9","31.9","0.078","100","37.5","rain","","","0","0","35.5","24.3","59.3","9.9","null"
"","","","","","","","2012-01-14","37.6","26.5","31.8","30.4","19.8","24.8","0","0","0","","","null","0","0","20.8","14.2","55.3","9.9","null"
"","","","","","","","2012-01-15","35.5","26.5","30.4","30.9","16.6","22.4","0","0","0","","","null","0","0","20.8","15.8","33.4","9.9","null"
"","","","","","","","2012-01-16","42.2","24.3","33","34.8","16.7","26.3","0.031","100","4.17","rain","","","0","0","26.4","18.4","65","9.9","null"
"","","","","","","","2012-01-17","57.5","40.9","49.5","57.5","33","46.5","0.266","100","37.5","rain","","","0","0","31.6","22.7","86.5","9.4","null"
"","","","","","","","2012-01-18","57.5","28.3","41.8","57.5","20.4","34.4","0.021","100","29.17","rain","","","0","0","38.7","23.8","44.8","9.9","null"
"","","","","","","","2012-01-19","39.4","25.5","33.2","32","16.7","26.6","0","0","0","","","null","0","0","20.8","17.7","43.2","9.9","null"
"","","","","","","","2012-01-20","39.3","29.8","34.8","35.3","22.2","29","0","0","0","rain","snow","","0.3","0.1","25.3","15.4","85.9","9.6","null"
"","","","","","","","2012-01-21","33.7","28","31.2","28.1","19.5","23.9","0.277","100","41.67","rain","snow","","0.2","0.3","null","15.4","98.2","7.4","null"
"","","","","","","","2012-01-22","31.8","29.8","30.4","31.8","20.7","23.3","0","0","0","","","null","0","0","null","12","99.9","9.1","null"
"","","","","","","","2012-01-23","43","31.8","35.7","36.7","26.4","32.4","0.03","100","8.33","rain","snow","","0","0","26.4","12.5","100","2.8","null"
"","","","","","","","2012-01-24","54.3","38.5","46.3","54.3","38.5","44.3","0","0","0","","","null","0","0","null","10.4","75.4","9.3","null"
"","","","","","","","2012-01-25","48.1","36.7","42.1","48","29.7","38.1","0","0","0","","","null","0","0","null","13.2","59.1","9.9","null"
"","","","","","","","2012-01-26","53.7","40.8","46.9","53.7","36.3","45.9","0.001","100","4.17","rain","","","0","0","null","10","98.2","8.7","null"
"","","","","","","","2012-01-27","62.3","42.9","53.6","62.3","36.7","51.9","0.585","100","25","rain","","","0","0","38.9","24.3","70.6","9.3","null"
"","","","","","","","2012-01-28","53.5","33.4","44","53.5","33.4","41.5","0","0","0","","","null","0","0","33.4","16.8","33.3","9.9","null"
