"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"366","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2016-01-01","46","37.8","42","40.9","31.3","37","0","0","0","","","null","0","0","null","12.4","73.6","9.9","null"
"","","","","","","","2016-01-02","47.9","32.6","39.8","44.2","27.5","35.7","0","0","0","","","null","0","0","18.3","10.1","7.1","9.9","null"
"","","","","","","","2016-01-03","53","31.3","39.9","53","24.5","35.8","0","0","0","","","null","0","0","28.9","19.2","24.6","9.9","null"
"","","","","","","","2016-01-04","37.9","24","33","31.1","10.2","23.1","0","0","0","","","null","0","0","33.6","23.3","45.4","9.9","null"
"","","","","","","","2016-01-05","33","15.9","24.2","29.9","-0.2","14.4","0","0","0","","","null","0","0","32.2","23.4","0","9.9","null"
"","","","","","","","2016-01-06","39.9","20.2","30.2","36.6","15.2","27","0","0","0","","","null","0","0","null","6.7","28.1","9.9","null"
"","","","","","","","2016-01-07","42.8","33.8","38.8","42.1","33.2","37.5","0","0","0","","","null","0","0","null","9.6","98.9","8.3","null"
"","","","","","","","2016-01-08","43.9","39.6","41.4","43.9","35","38.5","0","0","0","","","null","0","0","null","6.7","100","3.5","null"
"","","","","","","","2016-01-09","50","40.9","45.5","49.8","38.5","43.4","0.151","100","20.83","rain","","","0","0","null","7","99","5.4","null"
"","","","","","","","2016-01-10","62","38.9","53.5","62","30","51.5","0.596","100","29.17","rain","","","0","0","39.9","26.6","78","9","null"
"","","","","","","","2016-01-11","39.8","28.9","33.7","34.2","17.7","25.8","0","0","0","","","null","0","0","28.8","18.4","23.6","9.9","null"
"","","","","","","","2016-01-12","46.9","29.2","36.5","40.2","19.4","29","0","0","0","","","null","0","0","37.8","21.3","81.8","9.8","null"
"","","","","","","","2016-01-13","31.8","20.9","26.4","27.3","7.8","17.3","0","0","0","","","null","0","0","31.1","20.7","38.6","9.9","null"
"","","","","","","","2016-01-14","53","27.6","38.1","53","20.7","34.1","0","0","0","","","null","0","0","24.3","15.7","43.8","9.9","null"
"","","","","","","","2016-01-15","49","34.5","42.8","46.6","32","39.8","0.215","100","25","rain","","","0","0","null","9.7","79.6","9.5","null"
"","","","","","","","2016-01-16","52","39.6","44.5","52","34","40.1","0.116","100","8.33","rain","","","0","0","25.2","17.2","91.2","7.9","null"
"","","","","","","","2016-01-17","37.9","33.1","35.6","33.1","26.2","30.6","0.048","100","8.33","rain","snow","","0","0","null","9.7","83.4","8.6","null"
"","","","","","","","2016-01-18","33","16.9","22.6","26.7","1.5","8.8","0.001","100","4.17","snow","","","0","0","32.9","24.8","30.3","9.8","null"
"","","","","","","","2016-01-19","26.8","15.1","20.6","14.4","-2.2","7.1","0","0","0","","","null","0","0","33","23.2","6","9.9","null"
"","","","","","","","2016-01-20","29.8","19.8","24.5","25.9","6.4","15.9","0.033","100","12.5","snow","","","0","0","27.3","14.5","66.1","8.5","null"
"","","","","","","","2016-01-21","34","23.9","28.2","24.4","12.3","18.6","0","0","0","snow","","","0","0","25","18.3","51.9","9.7","null"
"","","","","","","","2016-01-22","28.9","21.7","24.7","19.8","7.7","14.5","0.349","100","41.67","rain","snow","","0.2","0.1","30.3","21.3","73","6.1","null"
"","","","","","","","2016-01-23","28","24","26.1","15","9.3","11.6","1.023","100","87.5","snow","","","0.2","0.4","41.1","28.5","100","1","null"
"","","","","","","","2016-01-24","34","21.1","27.5","32.7","10.6","19.3","0","0","0","rain","snow","","0.1","0.4","28.6","15.9","32.9","9.5","null"
"","","","","","","","2016-01-25","40.9","16.5","28.1","40.9","9.9","26.1","0.002","100","8.33","rain","snow","","0.2","0.4","null","6.3","65.5","8.3","null"
"","","","","","","","2016-01-26","51.4","31.7","41.8","51.4","23.9","38","0","0","0","","","null","0","0.3","23","15.5","92.3","9.9","null"
"","","","","","","","2016-01-27","46.8","33.1","40.2","44.7","27.7","34.4","0","0","0","","","null","0","0.2","25.2","15.8","76.1","9.9","null"
"","","","","","","","2016-01-28","39.2","24.6","32.7","36.7","21.6","29.9","0","0","0","","","null","0","0.1","null","10.3","68.1","9.9","null"
"","","","","","","","2016-01-29","42.8","28.7","35.5","35.8","23.8","28.4","0.006","100","4.17","rain","","","0","0.1","36.5","25.3","60.4","9.8","null"
"","","","","","","","2016-01-30","41.2","24.4","34.5","35","18.6","29.4","0","0","0","rain","snow","","0.1","0.1","null","14.7","21.9","9.9","null"
"","","","","","","","2016-01-31","56.4","36","45.4","56.4","30.4","42.2","0","0","0","","","null","0","0.1","28.9","13.9","67.9","9.9","null"
"","","","","","","","2016-02-01","60.1","44","49.7","60.1","40.9","47.1","0.113","100","12.5","rain","","","0","0","21.9","16.1","89.4","9.8","null"
"","","","","","","","2016-02-02","51.1","36.7","43.6","51.1","30.7","39.9","0","0","0","","","null","0","0","null","11.4","51.4","9.9","null"
"","","","","","","","2016-02-03","56.1","41.1","47.8","56.1","38","46","0.444","100","29.17","rain","","","0","0","29.8","12.3","97.7","8.5","null"
"","","","","","","","2016-02-04","57.1","43","49.9","57.1","35.5","46","0.077","100","16.67","rain","","","0","0","25.3","19.3","99.8","8.3","null"
"","","","","","","","2016-02-05","42.9","34.5","38.7","36.1","26.2","30.4","0.048","100","20.83","rain","","","0","0","34.1","23.2","62.2","9.1","null"
"","","","","","","","2016-02-06","43.1","29.3","36","38.4","24.6","31.8","0","0","0","","","null","0","0","null","11","57.7","9.9","null"
"","","","","","","","2016-02-07","45.9","29.5","37.9","40.5","24.6","33.4","0","0","0","","","null","0","0","null","13.4","81.6","9.9","null"
"","","","","","","","2016-02-08","46.1","34.8","40.4","44","27.2","35","0.011","100","4.17","rain","","","0","0","19.7","13.4","88.3","9.9","null"
"","","","","","","","2016-02-09","39.8","33.1","36.7","37.1","24","31.4","0.215","100","41.67","rain","","","0","0","21.9","15.9","94.9","8.4","null"
"","","","","","","","2016-02-10","38.7","26","32","31.7","14.2","22.5","0","0","0","","","null","0","0","31.9","18.8","85.9","9.7","null"
"","","","","","","","2016-02-11","29.7","21.7","25.1","18.1","8.7","13.1","0","0","0","","","null","0","0","31.8","20","32.9","9.9","null"
"","","","","","","","2016-02-12","30.7","19.6","25","23.9","11.2","18","0","0","0","","","null","0","0","20.8","12","81.9","9.9","null"
"","","","","","","","2016-02-13","28","15.9","21.7","21.8","0.4","7.5","0","0","0","","","null","0","0","38.8","27.1","62.6","9.6","null"
"","","","","","","","2016-02-14","25","12.5","19.1","20.1","-0.3","9","0","0","0","","","null","0","0","23","13.9","45.7","9.9","null"
"","","","","","","","2016-02-15","29.9","19.9","25.2","26","9.5","18.3","0.46","100","79.17","rain","snow","","0","0","null","10.3","100","4.5","null"
"","","","","","","","2016-02-16","51.9","30.7","42.4","51.9","23.2","38.2","0.702","100","37.5","rain","snow","","0","0","40.3","19.5","83.1","7","null"
"","","","","","","","2016-02-17","47.9","32.7","39.7","42.3","27.5","35.1","0","0","0","","","null","0","0","21.9","15.8","71.1","9.8","null"
"","","","","","","","2016-02-18","38.9","31.4","35.4","32.8","22.1","27.6","0","0","0","","","null","0","0","27.7","19.2","39.4","9.9","null"
"","","","","","","","2016-02-19","40.8","27.2","33.9","33.3","22.6","28.3","0","0","0","","","null","0","0","19.7","15.8","66.6","9.9","null"
"","","","","","","","2016-02-20","63","40","49.6","63","31.8","46.5","0","0","0","","","null","0","0","25.3","17.6","55.3","9.9","null"
"","","","","","","","2016-02-21","56","44.6","50.4","56","41.4","48.7","0.085","100","20.83","rain","","","0","0","null","12.3","75","7.9","null"
