"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype","days__preciptype__001","days__preciptype__002","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2023-01-01","61.4","43.5","51.8","61.4","41.7","51.2","0.004","100","4.17","","rain","","null","null","null","8.8","47.7","9.1","4"
"","","","","","","","2023-01-02","63","40","50.9","63","36.3","50.2","0","0","0","null","","","null","null","null","9.1","87.8","9.8","4"
"","","","","","","","2023-01-03","68","50.1","59.3","68","50.1","59.3","0","0","0","null","","","null","null","29.3","17.7","90.8","9.7","2"
"","","","","","","","2023-01-04","65","53.3","59.5","65","53.3","59.5","0","0","0","null","","","null","null","31.1","14.1","85.2","9.9","2"
"","","","","","","","2023-01-05","64","49.6","56.4","64","45.1","55.9","0","0","0","null","","","null","null","null","12.6","75.8","9.9","4"
"","","","","","","","2023-01-06","51.9","43.7","48.1","51.9","39.3","44.7","0","0","0","null","","","null","null","33.2","21.2","88.5","9.9","4"
"","","","","","","","2023-01-07","50.9","37.8","43.9","50.9","31.7","39.1","0","0","0","null","","","null","null","23","15.4","61","9.9","5"
"","","","","","","","2023-01-08","43.8","31.5","38","42","25.2","33.4","0.011","100","4.17","","rain","","null","null","null","16.6","59.7","9.8","3"
"","","","","","","","2023-01-09","50.9","36.9","42.5","50.9","30.8","38","0","0","0","null","","","null","null","31.2","17.1","31.7","9.4","5"
"","","","","","","","2023-01-10","46.9","34.2","40.3","46.9","27","37.2","0","0","0","null","","","null","null","null","9.8","60.5","9.9","3"
"","","","","","","","2023-01-11","46.8","32.3","39.9","42.9","26.4","37.2","0.019","100","4.17","","rain","","null","null","null","10.8","72.8","9.6","3"
"","","","","","","","2023-01-12","55","40.6","47.2","55","37.1","46.2","0.127","100","16.67","","rain","","null","null","null","10.5","95.3","9.2","3"
"","","","","","","","2023-01-13","54.9","39.7","48.3","54.9","31.1","43.9","0.25","100","25","","rain","","null","null","32.7","22.7","83.5","9.7","5"
"","","","","","","","2023-01-14","39.6","31.8","35.9","31","20.8","25.5","0","0","0","null","","","null","null","34.8","24.4","98.8","9.9","1"
"","","","","","","","2023-01-15","45.9","29","36.3","39.2","17.8","27.5","0","0","0","null","","","null","null","30.6","20.3","17.9","9.9","5"
"","","","","","","","2023-01-16","54.9","30.3","41.8","54.9","21.5","38.2","0","0","0","null","","","null","null","21.9","14.8","36.7","9.9","5"
"","","","","","","","2023-01-17","45","37.7","41.3","44.9","35.7","39.1","0.056","100","20.83","","rain","","null","null","null","8","90.5","8.6","1"
"","","","","","","","2023-01-18","58.9","38.8","47.9","58.9","35","45.6","0","0","0","null","","","null","null","24.2","14.7","42.8","9.2","5"
"","","","","","","","2023-01-19","46.8","42.6","44.7","46.8","39.6","42.9","0.077","100","33.33","","rain","","null","null","null","9.9","97.9","8.3","1"
"","","","","","","","2023-01-20","51.8","40.9","46.1","51.8","35.6","42","0","0","0","null","","","null","null","35.9","23.4","75.8","8.3","4"
"","","","","","","","2023-01-21","43.9","35.1","41.1","40.5","33","36.7","0","0","0","null","","","null","null","21.9","13.5","78.7","9.9","1"
"","","","","","","","2023-01-22","42.8","33.4","37.8","39.2","29.6","34.3","0.234","100","33.33","","rain","","null","null","null","13.3","89.3","8","1"
"","","","","","","","2023-01-23","46.9","38.8","42.1","40.4","33.1","35.7","0.085","100","29.17","","rain","","null","null","35.1","24.4","96.2","9.2","2"
"","","","","","","","2023-01-24","51","32.7","41.2","51","27.6","37.6","0","0","0","null","","","null","null","25.3","10.3","62.4","9.9","5"
"","","","","","","","2023-01-25","47.1","35.5","40.8","46.1","31.2","37","0.477","100","50","","rain","","null","null","17.2","11.3","95.8","7.3","0"
"","","","","","","","2023-01-26","49.7","40.7","44.9","45.9","35.9","40.5","0.001","100","4.17","","rain","","null","null","34.8","21.4","75.2","9.8","3"
"","","","","","","","2023-01-27","45.7","32.3","39","40.9","27.2","34.5","0","0","0","null","","","null","null","21.9","14.6","46.9","9.9","5"
"","","","","","","","2023-01-28","57.6","34.5","44","57.6","27.5","40.7","0","0","0","null","","","null","null","19.7","13.2","59.2","9.9","5"
"","","","","","","","2023-01-29","49.8","40.6","44.8","44.8","35.9","40.3","0.035","100","12.5","","rain","","null","null","17.2","13.5","80.2","9.8","2"
"","","","","","","","2023-01-30","60.9","40.9","48.5","60.9","40.9","48","0","0","0","null","","","null","null","null","8.7","64.1","9.8","5"
"","","","","","","","2023-01-31","47","36.9","41.4","46","30","36.6","0.165","100","25","","rain","","null","null","17.2","14.4","85.5","8.8","1"
"","","","","","","","2023-02-01","40.7","32.5","35.6","37.4","23.9","29.1","0.043","100","12.5","","rain","snow","null","null","null","15.3","81.8","9.1","6"
"","","","","","","","2023-02-02","41.8","31.3","36","36.8","28.1","32.2","0","0","0","null","","","null","null","null","11.3","94.5","9.9","4"
"","","","","","","","2023-02-03","40.7","19.8","31.7","34.1","4.3","20.7","0","0","0","null","","","null","null","42.7","28.1","54.6","9.9","6"
"","","","","","","","2023-02-04","31.9","16.9","24.5","23","2.6","15.1","0","0","0","null","","","null","null","30.6","16.9","27.8","9.9","6"
"","","","","","","","2023-02-05","58.8","33","44.2","58.8","22.9","39.9","0","0","0","null","","","null","null","32.9","17.9","79.7","9.9","5"
"","","","","","","","2023-02-06","54.8","38.8","47.7","54.8","31.8","44.3","0","0","0","null","","","null","null","32.2","20.1","65","9.9","4"
"","","","","","","","2023-02-07","48.9","31.3","41.3","46.7","30","38","0","0","0","null","","","null","null","null","11.5","66.2","9.6","4"
"","","","","","","","2023-02-08","65.7","44.2","53.2","65.7","41.9","53","0","0","0","null","","","null","null","21.9","14.9","85.6","9.8","5"
